;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02, 07–16);76779;968275;949447;14584;4244
2;Технологический –  всего (сумма строк 03–06);11181;147492;146874;513;105
3;в том числе:       информационно-технологический;4538;60079;59883;118;78
4;агротехнологический;379;3395;3395;;
5;индустриально-технологический;88;921;921;;
6;другие технологические;6176;83097;82675;395;27
7;Физико-математический;2770;39071;39028;26;17
8;Физико-химический;283;4007;4003;4;
9;Химико-биологический;6047;62680;62503;124;53
10;Биолого-географический;103;1148;993;3;152
11;Социально-экономический;9783;139501;138751;604;146
12;Социально-гуманитарный;4810;66477;66192;200;85
13;Филологический;1278;19453;19346;85;22
14;Художественно-эстетический;325;1909;1906;3;
15;Оборонно-спортивный;162;2769;2743;3;23
16;Другие;40037;483768;467108;13019;3641
