;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 40, 41);2138310;1341863;1196595;324;7592;80;716;427628;195843;162726;430847;422197;1797862;
2;в том числе:       руководящие работники – всего;139629;131386;110520;53;1803;22;167;6503;1938;705;25784;16670;117694;
3;из них:             директор;37922;37206;35249;35;876;14;77;364;316;1;8621;5534;28852;
4;заместители директора;92699;85802;69866;11;844;5;76;4654;1288;553;15862;9955;80501;
5;руководитель филиала;1874;1675;1486;;8;;;148;99;8;287;391;1565;
6;педагогические работники – всего (сумма строк 07, 28, 29, 33-39);1328853;1114709;1065986;256;5633;54;519;200436;183110;2479;404132;403732;1184398;1087534.69
7;в том числе:             учителя – всего (сумма строк 08-18, 22-27);1066173;924734;895915;190;4785;43;430;133625;125416;1157;354642;336067;942825;863384.25
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;319111;238853;235067;8;192;2;15;78045;76392;292;104175;105587;317044;275414.53
9;русского языка и литературы;125379;120854;119437;34;923;7;52;3890;3681;37;48816;37822;122719;
10;языка народов России и литературы;15544;14208;14067;5;51;;3;1270;1219;6;5330;4732;14893;
11;истории, экономики, права, обществознания;65577;63598;61841;15;806;8;67;1643;1421;35;23416;19613;52406;
12;информатики и ИКТ;27315;25595;23429;11;185;1;21;1487;1138;27;9518;8272;19462;
13;физики;31082;30434;29049;16;350;5;50;449;372;11;11283;9412;23519;
14;математики;96613;93774;91111;18;406;4;50;2284;2079;22;33383;31501;90081;
15;химии;23090;22730;21870;10;315;3;31;255;203;9;9575;6416;21444;
16;географии;30368;29361;28582;5;151;3;13;878;781;8;11470;9630;26794;
17;биологии;31492;30682;29773;14;350;4;24;653;552;7;12620;9102;29539;
18;иностранных языков;119359;114272;111026;33;675;2;49;4474;4170;42;31410;39382;114166;
19;из них:                         английского языка;103007;97980;94525;22;533;2;36;3604;3353;33;25840;33110;98349;
20;немецкого языка;12186;11350;11034;1;63;;5;673;614;5;3375;4275;11763;
21;французского языка;3163;3113;3056;;30;;6;19;18;;1282;785;3038;
22;физической культуры;77070;61279;58890;6;100;1;11;14976;14044;124;23471;24522;34756;
23;трудового обучения (технологии);41938;31516;28310;6;68;1;8;9614;7387;393;11975;13202;26972;
24;музыки и пения;19806;13222;12342;2;52;1;3;6315;5590;39;6699;5575;18297;
25;изобразительного искусства, черчения;15145;11502;10600;2;38;;4;3448;3031;34;5107;4265;14138;
26;основ безопасности жизнедеятельности;11888;10307;8871;2;44;;7;1419;1143;42;3163;3373;3042;
27;прочих предметов;15396;12547;11650;3;79;1;22;2525;2213;29;3231;3661;13553;
28;учителя-логопеды;17586;17087;16584;2;49;1;7;407;366;5;5416;4591;17491;15159.4
29;учителя-дефектологи;6424;6122;5861;8;25;1;4;272;248;;1484;1500;6308;5550.47
30;из них:                   олигофренопедагог;1719;1590;1542;;4;;;86;81;;331;425;1674;1421.3
31;тифлопедагог;184;183;178;;;;;1;1;;66;37;179;157.4
32;сурдопедагог;480;469;456;;4;;;;;;257;80;476;398
33;социальные педагоги;18719;15531;13714;12;33;;3;2914;2370;58;2699;4294;17858;14536.74
34;педагоги дополнительного образования;23282;17314;13904;8;109;2;12;5195;3660;153;4371;3870;16523;19738.32
35;педагоги-психологи;27884;26837;25090;5;242;;22;812;666;13;6060;6392;26776;22262.12
36;воспитатели;113846;66991;61409;1;66;;8;44318;40721;665;21294;36646;109790;94484.24
37;мастера производственного обучения;872;432;298;;;;;333;155;66;74;156;269;675.2
38;тьюторы;6041;4879;4305;4;24;;3;1022;828;17;339;525;5526;5331.2
39;другие;48026;34782;28906;26;300;7;30;11538;8680;345;7753;9691;41032;38847.67
40;учебно-вспомогательный персонал;133675;48340;12974;5;80;;13;49478;6436;17320;644;1274;118278;
41;иной персонал;536153;47428;7115;10;76;4;17;171211;4359;142222;287;521;377492;
42;из них:             ассистент (помощник);1006;247;105;;;;;394;108;90;1;3;917;1003.4
43;сурдопереводчик;6;2;;;;;;3;1;;;;6;99.2
44;тифлосурдопереводчик;3;;;;;;;;;;;;;29.5
45;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;54268;26793;24486;;9;1;;23912;21961;379;9732;15176;53890;
46;из них воспитатели;45988;20807;18876;;1;;;21833;20033;352;7344;13193;45836;
47;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;5162;4744;4496;;24;;4;180;145;;1372;1637;4267;
48;из них учителя;4797;4393;4164;;23;;4;154;131;;1267;1510;3955;
49;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;55043;43982;41551;6;90;;7;7042;6273;82;13268;15567;42372;
50;из них учителя - всего;39774;32228;30537;5;59;;6;4567;4144;48;10244;11681;29461;
51;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;10599;7893;7512;;8;;;1773;1687;11;2427;3013;8352;
52;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;77782;62673;59663;7;131;;6;8639;7890;52;19634;20520;57666;
53;Из общей численности учителей-дефектологов (строка 29 графа 3) - учителя, имеющие специальное дефектологическое образование;3835;3421;;;;;;;;;;;;
54;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из строки 02), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;97856;;;;;;;;;;;;;
55;из них директор;30180;;;;;;;;;;;;;
56;Численность педагогических работников (из строки 06), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;1040276;;;;;;;;;;;;;
57;из них учителя;795363;;;;;;;;;;;;;
58;Кроме того (кроме строки 01), численность медицинских работников (сумма строк 60, 61);8852;;;;;;;;;;;;;
59;из них женщин;8172;;;;;;;;;;;;;
60;в том числе:          врачи всех специальностей;1571;;;;;;;;;;;;;
61;медицинские сестры;7281;;;;;;;;;;;;;
62;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;900426;;;;;;;;;;;;;
63;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;736843;;;;;;;;;;;;;
64;в том числе:       осуществляющих классное руководство в одном классе;695111;;;;;;;;;;;;;
65;осуществляющих классное руководство в двух и более класса;41732;;;;;;;;;;;;;
