;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
№ строки;Наименование профессии по Перечню профессий рабочих, должностей служащих, по которым осуществляется профессиональное обучение, утвержденному приказом Минобрнауки России от 2 июля 2013 г. № 513;Код  профессии (при наличии);"Всего  обучено за период с 20.09 прошлого года по 19.09 текущего года (сумма граф 5 – 10; сумма граф 18-20)";В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований федерального бюджета;В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований бюджета субъекта Российской Федерации;В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований местного бюджета;В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств лиц, зачисляе- мых на обуче- ние (родителей (законных пре- дставителей) несовершенно- летних обучающихся);В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств иных физических лиц;В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств юридических лиц;Из общей численности обученных (из графы 4) девушки;Из общей численности обученных (из графы 4) прошли ускоренное обучение по индивидуальным учебным планам;Из общей численности обученных (из графы 4) лица с ограниченными возможностями здоровья;Из общей численности обученных (из графы 4) из них (из графы 13): инвалиды;Из общей численности обученных (из графы 4) из них (из графы 13): дети-инвалиды;Из общей численности обученных (из графы 4) инвалиды  (кроме учтенных в графе 14);Из общей численности обученных (из графы 4) дети-инвалиды (кроме учтенных в графе 15);Из общей численности обученных (из графы 4) обучались (обучаются) очно;Из общей численности обученных (из графы 4) обучались (обучаются) очно-заочно;Из общей численности обученных (из графы 4) обучались (обучаются) заочно
1;Программы профессиональной подготовки по профессиям рабочих, должностям служащих – всего;;45348;1556;37657;4456;1327;316;36;21027;1097;921;245;225;68;283;44914;411;23
2;Авиационный механик по приборам и электрооборудованию;10007;5;5;;;;;;;;;;;;;5;;
3;Бармен;11176;296;;273;23;;;;153;4;;;;1;1;296;;
4;Бетонщик;11196;2;;2;;;;;;;;;;;;2;;
5;Витражист;11440;100;;;100;;;;46;;;;;;;100;;
6;Водитель вездехода;11447;40;;12;;28;;;4;;;;;;;40;;
7;Водитель погрузчика;11453;10;10;;;;;;;;5;;;;;10;;
8;Вышивальщица;11583;6;;6;;;;;6;;;;;;;6;;
9;Вязальщица трикотажных изделий, полотна;11602;11;;2;9;;;;2;;2;;;;;11;;
10;Гончар;11693;7;;7;;;;;6;;;;;;;7;;
11;Горничная;11695;1;;1;;;;;1;;;;;;;1;;
12;Гример-пастижер;11763;89;;89;;;;;73;2;1;;1;;;89;;
13;Декоратор витрин;11811;113;;113;;;;;70;2;;;;1;;113;;
14;Демонстратор одежды;11815;2;;2;;;;;2;;;;;;;2;;
15;Животновод;11949;30;3;27;;;;;12;;;;;;;30;;
16;Замерщик на топографо-геодезических и маркшейдерских работах;12192;29;;29;;;;;13;;;;;;;29;;
17;Изготовитель игровых кукол;12317;4;;4;;;;;4;;;;;;;4;;
18;Изготовитель изделий из тканей с художественной росписью;12321;5;;5;;;;;5;;;;;;;5;;
