;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 40, 41);2118901;1332352;1181305;193;7713;74;773;428359;194222;155245;428924;390723;1782033;
2;в том числе:       руководящие работники – всего;137238;129474;108312;45;1717;20;156;6181;1931;614;25501;15237;115664;
3;из них:             директор;37456;36769;34748;34;831;13;72;357;317;2;8414;5087;28588;
4;заместители директора;90953;84465;68154;4;815;3;72;4380;1296;469;15852;9037;78908;
5;руководитель филиала;1963;1773;1565;;7;;;140;102;10;273;412;1644;
6;педагогические работники – всего (сумма строк 07, 28, 29, 33-39);1323039;1108110;1053299;136;5833;50;578;200266;182076;2347;402367;373769;1179906;1096954.4
7;в том числе:             учителя – всего (сумма строк 08-18, 22-27);1060902;917490;885230;120;4925;45;484;134695;126216;1043;354156;311314;939385;861848.8
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;320146;238855;234050;;230;1;10;78811;76987;265;105369;98323;318007;272133.3
9;русского языка и литературы;125512;120618;118958;28;960;8;69;4147;3900;39;48823;34857;122769;
10;языка народов России и литературы;15453;14065;13946;;51;;3;1309;1259;5;5351;4146;14807;
11;истории, экономики, права, обществознания;65424;63325;61288;19;812;8;75;1684;1458;30;23412;18226;52159;
12;информатики и ИКТ;27196;25364;22881;3;198;;26;1572;1178;26;9607;7630;19327;
13;физики;30556;29828;28340;14;371;9;59;525;434;5;11130;8435;23087;
14;математики;96008;92793;89611;17;416;5;65;2554;2300;28;32725;29012;89282;
15;химии;22708;22319;21396;5;311;4;31;265;199;6;9333;5853;21039;
16;географии;30294;29169;28312;3;145;2;18;990;884;8;11374;9002;26743;
17;биологии;31407;30490;29537;10;339;1;26;727;622;12;12412;8448;29418;
18;иностранных языков;118068;112902;109110;14;693;;54;4418;4105;36;31630;37015;112858;
19;из них:                         английского языка;103506;98432;94452;10;562;;37;3596;3322;30;26532;31509;98786;
20;немецкого языка;10749;9977;9697;;61;;8;628;570;6;3137;3650;10362;
21;французского языка;2784;2735;2668;2;33;;4;23;22;;1160;707;2684;
22;физической культуры;75567;59858;57272;2;101;;14;14785;13797;124;23414;22563;34447;
23;трудового обучения (технологии);41093;31071;27816;1;73;2;4;9266;7177;310;11829;12215;26712;
24;музыки и пения;19424;12910;12017;;59;1;3;6202;5493;42;6486;5031;18018;
25;изобразительного искусства, черчения;14946;11387;10429;;45;;2;3363;2962;36;4961;3918;13972;
26;основ безопасности жизнедеятельности;11445;9896;8529;;47;1;8;1391;1105;34;3048;3040;2945;
27;прочих предметов;15655;12640;11738;4;74;3;17;2686;2356;37;3252;3600;13795;
28;учителя-логопеды;18089;17522;16911;;48;;6;490;433;4;5378;4499;17994;15378.3
29;учителя-дефектологи;7064;6719;6440;;22;;1;306;279;3;1588;1648;6966;6211.9
30;из них:                   олигофренопедагог;1909;1759;1671;;2;;;100;88;1;384;514;1865;1586.3
31;тифлопедагог;194;190;183;;1;;;1;1;;84;45;188;187.8
32;сурдопедагог;477;470;456;;4;;;2;2;;234;89;472;415.2
33;социальные педагоги;18843;15543;13545;;37;;4;3007;2433;62;2755;4069;17989;14309.3
34;педагоги дополнительного образования;23897;17610;13891;4;122;2;15;5384;3876;163;4295;3652;16849;19640.6
35;педагоги-психологи;28972;27718;25815;4;228;;15;963;795;17;6042;6167;27819;22554.4
36;воспитатели;107079;63400;56662;;88;;13;41399;37413;678;19846;32469;103103;88607.8
37;мастера производственного обучения;832;395;281;;;;;331;169;56;64;137;260;539.7
38;тьюторы;7201;5733;4998;1;33;;3;1278;1074;28;401;655;6660;5906.7
39;другие;50160;35980;29526;7;330;3;37;12413;9388;293;7842;9159;42881;39957.8
40;учебно-вспомогательный персонал;125251;42833;11990;2;68;;12;47122;5927;15604;636;1115;111528;
41;иной персонал;533373;51935;7704;10;95;4;27;174790;4288;136680;420;602;374935;
42;из них:             ассистент (помощник);1193;263;107;;;;;483;98;155;;4;1090;970.9
43;сурдопереводчик;6;2;1;;;;;3;1;;;1;6;27.2
44;тифлосурдопереводчик;;;;;;;;;;;;;;14.5
45;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;48734;23488;21600;;6;;;21994;20257;291;8228;12745;48370;
46;из них воспитатели;41311;18161;16548;;2;;;20065;18465;272;6183;11109;41145;
47;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;4976;4595;4330;;29;;6;191;162;3;1386;1345;4102;
48;из них учителя;4622;4260;4018;;23;;5;164;142;2;1286;1252;3780;
49;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;54311;43247;40653;1;92;;5;6979;6237;79;13261;14172;41372;
50;из них учителя - всего;39236;31579;29978;;57;;4;4456;4063;41;10233;10662;28716;
51;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;10807;8023;7629;;5;;;1776;1671;6;2613;2735;8328;
52;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;79130;63890;59750;2;117;1;7;8866;8039;42;19630;19284;56814;
53;Из общей численности учителей-дефектологов (строка 29 графа 3) - учителя, имеющие специальное дефектологическое образование;4199;3797;;;;;;;;;;;;
54;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из строки 02), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;98845;;;;;;;;;;;;;
55;из них директор;30434;;;;;;;;;;;;;
56;Численность педагогических работников (из строки 06), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;1062474;;;;;;;;;;;;;
57;из них учителя;811028;;;;;;;;;;;;;
58;Кроме того (кроме строки 01), численность медицинских работников (сумма строк 60, 61);9001;;;;;;;;;;;;;
59;из них женщин;8298;;;;;;;;;;;;;
60;в том числе:          врачи всех специальностей;1584;;;;;;;;;;;;;
61;медицинские сестры;7417;;;;;;;;;;;;;
62;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;905647;;;;;;;;;;;;;
63;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;741748;;;;;;;;;;;;;
64;в том числе:       осуществляющих классное руководство в одном классе;696717;;;;;;;;;;;;;
65;осуществляющих классное руководство в двух и более класса;45031;;;;;;;;;;;;;
