;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);79;113;1994;2500
2;в том числе       инженерные;11;17;265;397
3;медицинские;1;15;26;257
4;космические;;;;
5;педагогические;;20;;437
6;аграрные;;;;
7;предпринимательские;;;;
8;кадетские;12;12;286;298
9;IT-классы;;;;
10;другие;55;49;1417;1111
