;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);323;1000;7865;13746
2;в том числе       инженерные;17;129;392;1334
3;медицинские;;52;;353
4;космические;8;;205;
5;педагогические;59;201;1328;2375
6;аграрные;;71;;333
7;предпринимательские;;10;;103
8;кадетские;;2;;9
9;IT-классы;29;70;702;881
10;другие;210;465;5238;8358
