;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);730;7219;6902;264;53
2;в том числе:       естественно-научный;66;738;738;;
3;гуманитарный;108;1304;1302;1;1
4;социально-экономический;163;1977;1977;;
5;технологический;141;1091;1091;;
6;универсальный;252;2109;1794;263;52
