;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);1393;10774;10687;87;
2;в том числе:       естественно-научный;234;1522;1522;;
3;гуманитарный;302;2138;2138;;
4;социально-экономический;222;2006;2006;;
5;технологический;286;2396;2396;;
6;универсальный;349;2712;2625;87;
