;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателей;Численность обучающихся по программам начального общего образования - всего (1–4 классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования - всего (5–9 классы);Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования - всего (10–11(12) классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 10-х классов без оставленных на повторное обучение
1;Всего;7089476;3460722;1857590;7497399;3680828;1652178;1371931;745673;711335
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;376;163;311;89;1;80;;;
3;6 лет;151708;80020;146702;3;;2;;;
4;7 лет;1669650;822464;1505879;21;7;10;;;
5;8 лет;1749719;856210;192160;59;19;29;;;
6;9 лет;1745736;853020;9895;1988;959;1606;;;
7;10 лет;1559009;756572;1416;171656;88705;160677;100;51;89
8;11 лет;193322;84728;480;1478905;734500;1280840;369;177;308
9;12 лет;14211;5369;209;1554673;763574;188648;328;164;78
10;13 лет;2636;957;116;1443225;709790;15681;484;283;299
11;14 лет;1122;418;103;1409201;693796;3249;2396;1395;1924
12;15 лет;678;268;84;1250715;610196;920;104074;58096;98214
13;16 лет;510;185;66;165631;71767;251;645586;352887;541431
14;17 лет;379;154;55;16981;6094;94;558829;304143;62869
15;18 лет;155;64;25;2839;1024;31;50614;26115;2922
16;19 лет;63;31;24;446;153;15;2600;1322;788
17;20 лет;33;14;12;150;61;6;1033;413;234
18;21 год;17;9;10;86;22;1;558;138;209
19;22 года;13;6;8;78;16;4;502;72;161
20;23 года;32;9;26;49;13;2;404;47;163
21;24 года;8;5;1;53;8;5;438;33;180
22;25 лет;6;1;;51;7;2;400;37;160
23;26 лет;4;4;1;58;10;4;386;26;173
24;27 лет;2;2;;46;6;3;412;29;139
25;28 лет;6;4;;53;10;2;435;31;197
26;29 лет;9;5;1;54;12;3;457;44;194
27;30–34 года;26;15;2;136;42;7;842;85;322
28;35–39 лет;23;18;;82;20;4;350;38;152
29;40 лет и старше;23;7;4;71;16;2;334;47;129
