;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателей;Численность обучающихся по программам начального общего образования - всего (1–4 классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования - всего (5–9 классы);Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования - всего (10–11(12) классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 10-х классов без оставленных на повторное обучение
1;Всего;738;259;112;23269;6383;589;53839;13715;21556
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;
3;6 лет;8;2;8;;;;;;
4;7 лет;56;29;41;;;;;;
5;8 лет;69;31;17;;;;;;
6;9 лет;72;29;6;;;;;;
7;10 лет;54;27;2;5;3;4;;;
8;11 лет;30;18;1;91;45;72;;;
9;12 лет;14;3;;134;51;27;;;
10;13 лет;3;2;;309;95;6;;;
11;14 лет;4;2;;988;342;8;5;3;4
12;15 лет;2;;;3715;1262;10;421;213;355
13;16 лет;;;;3970;1388;2;3214;1555;2470
14;17 лет;3;2;;2779;874;10;5499;2719;2087
15;18 лет;7;2;1;1447;515;14;4016;1888;1052
16;19 лет;12;1;;840;237;15;2817;1060;1017
17;20 лет;12;1;4;765;182;26;2797;697;1116
18;21 год;21;4;1;731;137;37;3261;567;1342
19;22 года;20;4;1;644;123;24;3169;477;1234
20;23 года;21;4;1;685;106;43;2938;404;1154
21;24 года;23;6;2;618;69;32;2633;351;1049
22;25 лет;26;6;3;559;59;31;2912;345;1152
23;26 лет;25;2;2;571;86;25;2565;319;991
24;27 лет;24;6;2;623;84;35;2682;331;1078
25;28 лет;32;8;5;679;86;24;2746;324;1085
26;29 лет;37;11;1;661;96;21;2757;315;1102
27;30–34 года;77;28;7;1311;250;54;5283;952;1812
28;35–39 лет;31;14;2;617;154;25;2348;562;850
29;40 лет и старше;55;17;5;527;139;44;1776;633;606
