;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателей;Численность обучающихся по программам начального общего образования - всего (1–4 классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования - всего (5–9 классы);Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования - всего (10–11(12) классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 10-х классов без оставленных на повторное обучение
1;Всего;612;304;113;9036;2444;379;18579;6646;6936
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;
3;6 лет;16;8;16;;;;;;
4;7 лет;77;41;61;;;;;;
5;8 лет;95;56;26;;;;;;
6;9 лет;123;59;1;;;;;;
7;10 лет;92;43;;10;6;10;;;
8;11 лет;36;15;;127;73;95;;;
9;12 лет;18;11;;121;54;17;;;
10;13 лет;8;3;;156;66;5;;;
11;14 лет;1;1;;430;166;1;8;1;7
12;15 лет;3;2;;978;360;4;292;176;260
13;16 лет;1;1;;1249;427;20;1868;1074;1338
14;17 лет;5;1;;957;303;18;2606;1292;922
15;18 лет;2;2;;635;199;20;1880;882;443
16;19 лет;3;3;;413;104;16;1068;408;279
17;20 лет;6;1;;343;79;14;974;327;314
18;21 год;2;1;;286;55;16;898;250;325
19;22 года;7;2;;255;28;7;761;201;293
20;23 года;12;4;;252;41;11;878;170;337
21;24 года;6;;;267;40;13;822;158;293
22;25 лет;6;1;;298;48;11;758;157;294
23;26 лет;9;3;1;271;42;10;754;130;252
24;27 лет;9;4;1;293;33;9;687;138;238
25;28 лет;8;3;;327;45;17;713;125;263
26;29 лет;9;6;3;319;50;8;642;125;199
27;30–34 года;22;9;;585;122;26;1591;414;466
28;35–39 лет;19;14;3;316;60;26;749;291;233
29;40 лет и старше;17;10;1;148;43;5;630;327;180
