;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Организация имеет особенности осуществляемой образовательной деятельности:;14019
2;является интернатом;1399
3;имеет интернат (заполняют организации, указавшие в строке 02 код «0»);1127
4;является вечерней (сменной);364
5;имеет классы очно-заочного и заочного обучения (заполняет организация,    указавшая в строке 04 код «0»);877
6;является отдельной общеобразовательной организацией для обучающихся с    ограниченными возможностями здоровья;1641
7;в том числе для:           глухих;125
8;слабослышащих и позднооглохших;148
9;слепых;85
10;слабовидящих;134
11;с тяжелыми нарушениями речи;140
12;с нарушениями опорно-двигательного аппарата;119
13;с задержкой психического развития;245
14;с расстройствами аутистического спектра;132
15;со сложными дефектами;214
16;других обучающихся с ограниченными возможностями здоровья;1211
17;имеет отдельные классы для обучающихся с ограниченными возможностями    здоровья (заполняют организации, указавшие в строке 06 код «0»);3924
18;является организацией (учреждением):       специальным учебно-воспитательным учреждением для обучающихся с       девиантным (общественно опасным) поведением;45
19;для детей дошкольного и младшего школьного возраста;845
20;для обучающихся, нуждающихся в длительном лечении;84
21;для обучающихся, нуждающихся в психолого-педагогической медицинской       и социальной помощи;68
22;для детей-сирот и детей, оставшихся без попечения родителей;164
23;центром образования;393
24;создана в уголовно-исполнительной системе;204
25;обеспечивает углубленную подготовку:       организация с углубленным изучением отдельных предметов;1229
26;имеет отдельные классы с углубленным изучением отдельных предметов       (заполняют организации, указавшие в строке 25 код «0»);2174
27;гимназия;1391
28;имеет гимназические классы (заполняют организации, указавшие в строке 27 код «0»);54
29;лицей;1119
30;имеет лицейские классы (заполняют организации, указавшие в строке 29 код «0»);46
31;обеспечивает подготовку к военной или гражданской службе:       президентское кадетское училище;1
32;суворовское военное училище;
33;нахимовское военно-морское училище;
34;кадетский (морской кадетский) военный корпус;1
35;кадетский (морской кадетский) корпус;27
36;кадетская школа;100
37;казачий кадетский корпус;27
38;военно-музыкальное училище;
39;другая;653
40;Организация не имеет особенностей;30943
