;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
118;Марийский горный;121;2378;233;228;237;254;1284;142;;;;;
119;Марийский луговой;321;13183;1121;1318;1379;1387;7160;818;39;;;;39
120;Мордовский мокша;126;16963;148;3284;3206;3316;6878;131;;;;;
121;Мордовский эрзя;326;19572;174;3255;3410;3251;9281;201;67;27;40;;
122;Манси;899;;;;;;;;;;;;
123;Нанайский;132;896;105;125;110;124;400;32;30;30;;;
124;Ненецкий;136;4595;485;569;532;723;2274;12;148;71;31;;46
125;Ногайский;138;5299;680;736;611;567;2361;344;;;;;
126;Немецкий;135;854;43;61;62;56;583;49;;;;;
127;Новогреческий;898;17;3;3;3;;8;;;;;;
128;Нивхский (на двух диалектах);137;12;2;3;4;3;;;;;;;
129;Осетинский;146;70480;8244;7815;7568;7537;33485;5831;236;11;;;225
130;Польский;150;18;;6;4;8;;;;;;;
131;Рутульский;157;1171;151;137;138;165;506;74;;;;;
132;Саамский;164;;;;;;;;;;;;
133;Селькупский;168;145;11;17;21;10;86;;3;3;;;
134;Табасаранский;174;17501;1914;2003;2023;1920;8149;1492;1;1;;;
135;Татарский;181;212111;25587;25206;24394;22625;100061;14238;2131;330;251;12;1538
136;Татский;185;64;12;6;;7;31;8;;;;;
137;Тофаларский;192;54;;20;15;19;;;;;;;
138;Тувинский;196;45559;5044;5145;5081;5150;21634;3505;611;101;227;7;276
139;Турецкий;197;2;;;1;;1;;;;;;
140;Туркменский;199;4;;;;;3;1;;;;;
141;Удмуртский;202;19118;1945;1942;1997;2174;10094;966;10;10;;;
142;Украинский;206;2006;170;182;175;208;1005;266;;;;;
143;Хакасский;217;7063;831;852;805;766;3289;520;117;;;;117
144;Хантыйский (на трех диалектах);219;944;91;133;126;117;465;12;64;;;;64
145;Финский;211;1801;149;165;126;157;1023;181;;;;;
146;Чеченский;238;297854;32785;35484;33815;33699;144414;17657;742;443;240;;59
147;Черкесский;897;7860;873;841;873;856;3899;518;;;;;
148;Чувашский;243;74035;8621;8302;9037;8735;37680;1660;1297;466;366;;465
149;Чукотский;244;580;37;69;76;69;322;7;7;;;;7
150;Эвенский;262;789;97;76;77;85;363;91;;;;;
151;Эскимосский;265;37;8;5;3;4;17;;;;;;
152;Эвенкийский;261;1467;105;216;201;118;744;83;;;;;
153;Эстонский;267;13;;2;3;3;5;;;;;;
154;Юкагирский;271;40;3;2;7;4;20;4;;;;;
155;Якутский;275;29334;2896;3341;3334;3190;14047;2526;59;;5;;54
156;Агульский;005;1645;189;190;187;177;742;160;;;;;
157;Греческий;048;;;;;;;;;;;;
158;Китайский;092;33;4;3;2;1;21;2;;;;;
159;Негидальский;134;;;;;;;;;;;;
160;Удэгейский;203;;;;;;;;;;;;
161;Ульчский;207;6;4;;;2;;;;;;;
162;Цахурский;227;377;51;46;42;47;168;23;;;;;
163;Шорский;253;24;;;;;24;;;;;;
164;Энецкий;263;;;;;;;;;;;;
165;Орокский (Уйльта);144;;;;;;;;;;;;
166;Телеутский;186;;;;;;;;;;;;
167;Сойотский;;57;;10;15;11;21;;;;;;
168;Численность обучающихся, изучающих родной (нерусский) язык факультативно или в кружках;;87793;;;;;;;;;;;
