;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
№ строки;Наименование показателя;Всего (сумма граф 4-47);Программы начального общего образования с нормативным сроком обучения 4 года 1-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 2-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 3-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 5 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 2 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 2 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс второго года обучения;Из общей численности обучающихся (из гр. 3): лица с ограниче- нными возможно- стями здоровья;Из общей численности обучающихся (из гр. 3): из них: инвалиды;Из общей численности обучающихся (из гр. 3): из них: дети-инвалиды;Из общей численности обучающихся (из гр. 3): инвалиды  (кроме учтенных в гр. 49);Из общей численности обучающихся (из гр. 3): дети-инвалиды  (кроме учтенных в гр. 50)
1;Число классов для глухих, ед.;1088;5;4;3;5;50;44;42;71;13;6;63;18;10;48;42;48;15;18;22;22;18;40;10;14;53;7;5;55;6;5;59;17;13;51;62;63;22;26;2;1;;1;4;5;;;;;
2;В них обучающихся, чел.;5614;30;20;19;30;263;214;243;361;70;28;312;77;48;244;210;234;80;103;104;123;105;226;52;79;279;46;32;277;38;32;300;94;69;275;318;318;114;107;6;5;;1;12;16;3713;195;3474;;114
3;Число классов для слабослышащих и позднооглохших, ед.;1461;21;17;20;21;63;71;38;89;23;7;100;23;5;50;72;76;12;19;17;15;20;69;18;9;91;19;4;90;17;1;81;24;15;44;75;69;28;19;1;2;2;2;1;1;;;;;
4;В них обучающихся, чел.;8858;131;138;116;120;336;387;249;537;150;26;572;155;26;289;451;476;77;114;130;96;129;424;122;56;555;123;27;540;117;8;495;156;96;230;462;452;138;93;9;15;15;11;6;3;6347;289;5411;;1
5;Число классов для слепых, ед.;308;7;4;5;6;14;11;7;16;2;1;19;3;3;12;10;4;7;4;8;10;6;19;;;17;;;15;;;24;;;8;13;18;16;19;;;;;;;;;;;
6;В них обучающихся, чел:       cлепых;1364;27;13;19;19;73;40;27;96;7;2;79;26;23;45;55;25;41;20;31;40;25;78;;;82;;;59;;;107;;;23;61;70;74;77;;;;;;;1001;66;905;;
7;слабовидящих и поздноослепших;465;;10;4;8;3;38;21;28;4;;26;3;;24;17;;4;;14;10;8;29;;;38;;;32;;;32;;;5;32;42;17;16;;;;;;;340;5;239;;
8;Число классов для слабовидящих и поздноослепших, ед.;1651;89;93;101;110;61;25;16;74;8;1;78;7;2;26;49;28;50;44;45;43;35;78;4;1;88;;;95;;;94;2;1;31;73;82;58;50;3;;;3;1;2;;;;;
9;В них обучающихся, чел:       слабовидящих и поздноослепших;14178;1007;1010;1125;1181;423;156;117;525;53;5;593;43;6;164;411;233;475;434;440;389;339;671;26;10;702;;;785;;;764;15;9;215;641;644;316;211;7;;;15;3;15;8674;195;2597;;
10;cлепых;806;18;13;22;23;45;16;19;59;12;5;43;15;6;14;41;21;5;12;4;6;6;42;6;;59;;;61;;;51;2;1;11;47;46;30;42;3;;;;;;462;26;383;;
11;Число классов для обучающихся с тяжелыми нарушениями речи, ед.;1783;196;190;194;191;20;85;63;64;11;;63;12;;29;11;1;50;47;45;42;40;72;3;;68;1;;67;1;;67;3;2;14;61;66;1;3;;;;;;;;;;;
12;В них обучающихся, чел.;19862;2276;2234;2254;2259;248;855;663;659;119;;678;140;;322;119;2;555;541;499;505;433;781;29;;751;14;;727;12;;717;27;21;145;654;610;3;10;;;;;;;13548;28;1470;15;
13;Число классов для обучающихся с нарушением опорно-двигательного аппарата, ед.;1683;84;76;78;106;30;74;69;78;2;3;68;1;2;35;2;3;87;77;90;88;89;63;;;61;;;61;2;;65;;;27;40;59;74;77;2;2;;4;1;3;;;;;
14;В них обучающихся, чел.;8532;508;492;531;607;96;358;351;386;4;3;318;2;2;176;17;3;496;443;480;427;466;298;;;317;;;321;8;;332;;;100;206;288;236;221;11;7;;5;5;11;5788;112;3262;;29
15;Число классов для обучающихся с задержкой психического развития, ед.;9058;328;449;558;702;73;386;430;406;49;6;394;48;8;112;12;6;938;941;965;1024;1009;25;2;2;26;1;;22;;;46;;;16;21;22;19;12;;;;;;;;;;;
16;В них обучающихся, чел.;94914;3009;4141;5680;7456;701;3827;4457;4399;508;59;4424;488;77;1199;129;61;10246;10182;10713;11308;11105;102;20;12;91;7;;103;;;171;;;164;21;22;19;13;;;;;;;63629;203;5213;14;72
17;Число классов для обучающихся с расстройствами аутистического спектра, ед.;378;18;16;9;11;32;56;61;42;14;4;23;6;3;16;11;1;14;9;6;3;4;3;;;2;;;4;;;;;;1;1;1;3;4;;;;;;;;;;;
18;В них обучающихся, чел.;1598;52;69;22;35;125;306;311;162;97;31;44;41;15;22;69;7;63;39;22;12;20;3;;;10;;;8;;;;;;4;1;1;3;4;;;;;;;1014;1;864;;
19;Число классов для обучающихся со сложными дефектами, ед.;279;10;11;12;13;3;8;13;16;1;;22;4;1;9;7;3;28;18;11;20;10;6;;;12;;;9;;;10;1;1;4;4;7;2;3;;;;;;;;;;;
20;В них обучающихся, чел.;1342;37;51;61;56;12;34;45;84;2;;113;17;3;48;30;10;141;102;56;109;51;38;;;49;;;55;;;51;5;3;10;22;35;2;10;;;;;;;927;9;831;;8
21;Число классов для обучающихся с иными ограниченными возможностями здоровья (кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед.;873;42;48;47;52;1;12;12;5;3;1;8;1;1;4;1;;51;66;79;102;104;8;1;1;5;;;7;;;7;;;5;5;19;79;87;;;;9;;;;;;;
22;В них обучающихся, чел.;4745;339;407;353;386;2;116;92;51;34;5;56;14;7;27;9;;387;461;522;470;572;18;8;1;18;;;16;;;18;;;20;5;19;150;153;;;;9;;;2795;28;1140;2;27
23;Итого классов (сумма строк 01,03, 05, 08, 11, 13, 15, 17, 19, 21);18562;800;908;1027;1217;347;772;751;861;126;29;838;123;35;341;217;170;1252;1243;1288;1369;1335;383;38;27;423;28;9;425;26;6;453;47;32;201;355;406;302;300;8;5;2;19;7;11;;;;;
24;В них обучающихся (сумма строк 02, 04, 06, 07, 09, 10, 12, 14, 16, 18, 20, 22);162278;7434;8598;10206;12180;2327;6347;6595;7347;1060;164;7258;1021;213;2574;1558;1072;12570;12451;13015;13495;13259;2710;263;158;2951;190;59;2984;175;40;3038;299;199;1202;2470;2547;1102;957;36;27;15;41;26;45;104143;1010;24347;17;333
