;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования (1–4 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования (5–9 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования (10–11(12) классы);Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы начального общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы основного общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы среднего общего образования;Из граф 3–8 изучают 2-й, 3-й и более иностранные языки
1;Численность обучающихся, которым в соответствии с образовательной про-граммой должны преподаваться иностранные языки (сумма строк 02, 16);5265601;7492698;1368263;38730;73189;1944;
2;В том числе обучающиеся, которым:       преподается иностранный язык;5235588;7483717;1366926;38374;73050;1942;
3;из них изучают язык:             английский;5021778;7153658;1302246;34839;63526;1867;584934
4;французский;31959;553754;31371;307;2708;;456062
5;немецкий;186352;1912633;88014;3229;16813;101;1393521
6;итальянский;316;9429;544;;;;7663
7;испанский;3707;65802;3016;43;197;;60073
8;китайский;3020;63660;2623;;153;;60605
9;арабский;184;1028;61;;;;1158
10;португальский;;;;;;;
11;турецкий;;1575;340;;;;1803
12;корейский;52;3229;457;;;;2696
13;японский;50;2017;324;;;;2148
14;иврит;198;714;122;;;;791
15;другие;1323;15351;1806;;28;;8348
16;не преподается иностранный язык;30013;8981;1337;356;139;2;
17;из строки 16 – из-за отсутствия учителя иностранного языка;7146;7106;1056;;;;
18;Из строки 02 – изучают:             2 иностранных языка;15676;2477971;66580;225;11288;26;
19;3 и более иностранных языка;;7564;1153;;;;
