;;;
;;;
;;;
;;;
;;;
1;2;3;4
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения, чел.
1;Всего (сумма строк 02, 07–16);49151;815475
2;Технологический –  всего (сумма строк 03–06);5534;97976
3;в том числе:       информационно-технологический;2699;49585
4;агротехнологический;496;4724
5;индустриально-технологический;67;1047
6;другие технологические;2272;42620
7;Физико-математический;5316;95243
8;Физико-химический;653;10932
9;Химико-биологический;5610;76950
10;Биолого-географический;139;1449
11;Социально-экономический;7453;141473
12;Социально-гуманитарный;5895;103762
13;Филологический;1576;27593
14;Художественно-эстетический;117;2439
15;Оборонно-спортивный;520;8907
16;Другие;16338;248751
