;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателей;Численность обучающихся по программам: начального общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 1-го класса или 1-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: основного общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 5-го класса или 5-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: среднего общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 10-го класса или 10-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями);Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся первого года обучения
1;Всего;75954;25324;16108;84075;29201;15543;2249;1026;1165;207689;72406;13379
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;25;7;19;8;;1;;;;16;6;
3;6 лет;510;201;454;3;1;;;;;169;60;154
4;7 лет;9149;3106;8306;5;1;;;;;4541;1469;4046
5;8 лет;15911;5173;5813;13;9;;;;;11694;3839;5759
6;9 лет;18571;6179;1179;3;;1;;;;16835;5659;1905
7;10 лет;19170;6400;196;509;222;431;;;;20373;6982;513
8;11 лет;9382;3171;77;8876;3177;7989;;;;23195;8142;248
9;12 лет;2338;760;37;14043;4983;5178;;;;24737;8800;118
10;13 лет;529;186;14;15523;5438;1399;3;;3;24442;8659;124
11;14 лет;167;69;5;16276;5566;340;1;1;1;25567;8896;99
12;15 лет;88;31;4;16392;5512;118;75;32;55;25932;9154;109
13;16 лет;53;23;3;8380;2793;48;369;188;317;16781;5777;100
14;17 лет;39;9;1;2891;1068;25;840;397;492;7976;2834;71
15;18 лет;17;7;;825;313;8;638;279;232;3069;1140;17
16;19 лет;4;2;;240;81;2;234;90;55;1133;471;6
17;20 лет;;;;48;19;1;60;25;6;397;155;7
18;21 год;1;;;16;5;;15;9;;213;91;7
19;22 года;;;;8;3;;9;4;3;128;51;6
20;23 года;;;;3;1;;3;;;80;40;6
21;24 года;;;;2;;;;;;54;29;4
22;25 лет;;;;;;;;;;52;24;7
23;26 лет;;;;1;1;;;;;50;21;4
24;27 лет;;;;1;1;1;;;;59;24;3
25;28 лет;;;;1;1;;;;;42;16;6
26;29 лет;;;;1;1;;;;;24;13;10
27;30–34 года;;;;3;2;;2;1;1;73;29;26
28;35–39 лет;;;;3;2;1;;;;38;17;14
29;40 лет и старше;;;;1;1;;;;;19;8;10
