;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);603;5493;5395;62;36
2;в том числе:       естественно-научный;75;624;622;2;
3;гуманитарный;52;842;842;;
4;социально-экономический;105;1064;1064;;
5;технологический;124;1013;1013;;
6;универсальный;247;1950;1854;60;36
