;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);201;412;2658;6103
2;в том числе       инженерные;25;37;630;841
3;медицинские;6;20;94;277
4;космические;;1;;17
5;педагогические;62;150;391;1355
6;аграрные;32;16;313;103
7;предпринимательские;;2;;42
8;кадетские;6;5;112;100
9;IT-классы;1;2;8;28
10;другие;69;179;1110;3340
