;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);978;11034;10609;399;26
2;в том числе:       естественно-научный;134;1139;1139;;
3;гуманитарный;229;2577;2291;284;2
4;социально-экономический;254;3357;3309;29;19
5;технологический;232;2438;2427;11;
6;универсальный;129;1523;1443;75;5
