;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);104;474;2521;7897
2;в том числе       инженерные;20;79;449;1292
3;медицинские;8;49;160;631
4;космические;;;;
5;педагогические;11;106;205;1472
6;аграрные;2;3;14;15
7;предпринимательские;;44;;985
8;кадетские;28;8;689;100
9;IT-классы;6;30;179;445
10;другие;29;155;825;2957
