;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);164;177;1704;2908
2;в том числе       инженерные;9;7;216;121
3;медицинские;1;25;23;184
4;космические;1;1;27;8
5;педагогические;2;97;20;1433
6;аграрные;14;3;235;13
7;предпринимательские;;;;
8;кадетские;;4;;71
9;IT-классы;;1;;1
10;другие;137;39;1183;1077
