;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);28;86;569;1477
2;в том числе       инженерные;;3;;50
3;медицинские;1;23;24;366
4;космические;;;;
5;педагогические;;55;;935
6;аграрные;;;;
7;предпринимательские;;;;
8;кадетские;9;;229;
9;IT-классы;;2;;61
10;другие;18;3;316;65
