;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);616;8173;7818;168;187
2;в том числе:       естественно-научный;72;827;817;7;3
3;гуманитарный;103;1650;1617;19;14
4;социально-экономический;64;1132;1101;8;23
5;технологический;86;1308;1303;4;1
6;универсальный;291;3256;2980;130;146
