;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);511;191;5693;2353
2;в том числе       инженерные;9;7;246;123
3;медицинские;2;12;29;199
4;космические;;;;
5;педагогические;2;75;39;957
6;аграрные;42;14;661;48
7;предпринимательские;1;;33;
8;кадетские;43;4;799;8
9;IT-классы;2;;30;
10;другие;410;79;3856;1018
