;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);154;174;950;1653
2;в том числе       инженерные;;16;;378
3;медицинские;1;15;29;230
4;космические;;;;
5;педагогические;53;96;218;683
6;аграрные;16;22;154;186
7;предпринимательские;4;4;110;59
8;кадетские;4;2;63;3
9;IT-классы;;;;
10;другие;76;19;376;114
