;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
№ строки;Наименование показателей;Код по ОКИН;Всего (сумма  граф 5–14);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования 1-й класс;Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования 2-й класс;Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования 3-й класс;Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования 4-й класс;Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам основного общего образования (5–9 классы);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам среднего общего образования (10–11(12) классы;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья, по программам основного общего образования;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья, по программам среднего общего образования;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья, по программам образование обучающихся  с умственной отсталостью (интеллектуаль- ными нарушениями);из них (из графы 4) обучающихся по очно-заочной и заочной формам обучения*
1;Численность обучающихся по языкам обучения;;517441;46683;52278;54674;56715;264750;33875;2622;2384;82;3378;194
2;в том числе язык обучения: Абазинский;001;;;;;;;;;;;;
3;Аварский;003;;;;;;;;;;;;
4;Адыгейский;005;;;;;;;;;;;;
5;Азербайджанский;007;;;;;;;;;;;;
6;Алтайский;013;;;;;;;;;;;;
7;Армянский;020;;;;;;;;;;;;
8;Балкарский;999;;;;;;;;;;;;
9;Башкирский;039;33495;3104;3425;3614;3879;17155;2042;38;92;;146;
10;Белорусский;041;;;;;;;;;;;;
11;Бурятский;054;;;;;;;;;;;;
12;Вепсский;059;;;;;;;;;;;;
13;Грузинский;070;;;;;;;;;;;;
14;Даргинский;074;;;;;;;;;;;;
15;Долганский;079;;;;;;;;;;;;
16;Еврейский (идиш);081;;;;;;;;;;;;
17;Ительменский;095;;;;;;;;;;;;
18;Ингушский;087;;;;;;;;;;;;
19;Казахский;100;;;;;;;;;;;;
20;Калмыцкий;101;;;;;;;;;;;;
21;Кабардино-черкесский;098;;;;;;;;;;;;
22;Карачаево-балкарский;106;;;;;;;;;;;;
23;Карельский;107;;;;;;;;;;;;
24;Кетский;109;;;;;;;;;;;;
25;Коми;115;;;;;;;;;;;;
26;Коми-пермяцкий;116;;;;;;;;;;;;
27;Корейский;118;;;;;;;;;;;;
28;Корякский;119;;;;;;;;;;;;
29;Крымско-татарский;126;;;;;;;;;;;;
30;Кумыкский;129;;;;;;;;;;;;
31;Лакский;134;;;;;;;;;;;;
32;Лезгинский;139;;;;;;;;;;;;
33;Латышский;138;;;;;;;;;;;;
34;Литовский;141;;;;;;;;;;;;
35;Марийский (Марийский горный);154;;;;;;;;;;;;
36;Лугово-восточный марийский  (Марийский луговой);142;67;16;12;9;17;13;;;;;;
37;Мокша-мордовский  (Мордовский мокша);158;;;;;;;;;;;;
38;Мордовский (Мордовский эрзя);163;;;;;;;;;;;;
39;Мансийский (Манси);151;;;;;;;;;;;;
40;Нанайский;166;;;;;;;;;;;;
41;Ненецкий;172;;;;;;;;;;;;
42;Ногайский;178;;;;;;;;;;;;
43;Немецкий;171;;;;;;;;;;;;
44;Новогреческий;898;;;;;;;;;;;;
45;Нивхский (на двух диалектах);175;;;;;;;;;;;;
46;Осетинский;186;;;;;;;;;;;;
47;Польский;192;;;;;;;;;;;;
48;Русский;199;481260;43284;48484;50687;52405;246489;31725;2580;2292;82;3232;194
49;Рутульский;201;;;;;;;;;;;;
50;Саамский;203;;;;;;;;;;;;
51;Селькупский;208;;;;;;;;;;;;
52;Табасаранский;222;;;;;;;;;;;;
53;Татарский;228;2460;261;330;325;366;1066;108;4;;;;
54;Татский;229;;;;;;;;;;;;
55;Тофаларский;238;;;;;;;;;;;;
56;Тувинский;240;;;;;;;;;;;;
57;Турецкий;241;;;;;;;;;;;;
58;Туркменский;242;;;;;;;;;;;;
59;Удмуртский;236;27;3;4;8;12;;;;;;;
60;Украинский;251;;;;;;;;;;;;
61;Хакасский;261;;;;;;;;;;;;
62;Хантыйский (на трех диалектах);262;;;;;;;;;;;;
63;Финский;256;;;;;;;;;;;;
64;Чеченский;273;;;;;;;;;;;;
65;Черкесский;897;;;;;;;;;;;;
66;Чувашский;275;132;15;23;31;36;27;;;;;;
67;Чукотский;276;;;;;;;;;;;;
68;Эвенский;284;;;;;;;;;;;;
69;Эскимосский;288;;;;;;;;;;;;
70;Эвенкийский;283;;;;;;;;;;;;
71;Эстонский;290;;;;;;;;;;;;
72;Юкагирский;293;;;;;;;;;;;;
73;Якутский;297;;;;;;;;;;;;
74;Агульский;004;;;;;;;;;;;;
75;Греческий;069;;;;;;;;;;;;
76;Китайский;114;;;;;;;;;;;;
77;Негидальский;170;;;;;;;;;;;;
78;Удэгейский;247;;;;;;;;;;;;
79;Ульчский;252;;;;;;;;;;;;
80;Цахурский;268;;;;;;;;;;;;
81;Шорский;280;;;;;;;;;;;;
82;Энецкий;286;;;;;;;;;;;;
83;Орокский (Уйльта);250;;;;;;;;;;;;
84;Телеутский;230;;;;;;;;;;;;
85;Сойотский;998;;;;;;;;;;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
