;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);52550;2007;1778;1847;1622;3036;2645;5473;4839;6628;5930;8153;7345;9279;8090;8232;6675;5288;3656;2607;1817
2;в том числе:       руководящие работники – всего;3412;6;4;35;22;142;101;374;289;534;438;674;586;720;603;484;381;311;196;132;88
3;из них:             директор;1235;1;;6;1;43;20;99;52;159;100;238;178;283;209;204;140;155;81;47;21
4;заместители директора;2033;5;4;29;21;90;75;265;228;359;325;410;387;406;372;253;220;135;102;81;67
5;руководитель филиала;123;;;;;6;3;9;7;10;7;23;18;31;22;21;15;20;12;3;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);36556;1848;1661;1565;1389;2379;2085;3982;3605;4660;4265;5711;5311;6395;5906;5178;4657;3170;2664;1668;1377
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);31020;1495;1345;1257;1097;1890;1622;3199;2852;3856;3509;4847;4472;5613;5165;4611;4128;2814;2349;1438;1201
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;9167;612;608;381;376;428;426;778;773;1069;1062;1683;1682;2109;2106;1354;1350;570;566;183;183
9;русского языка и литературы;3813;156;152;148;143;204;201;393;381;412;412;547;541;734;725;605;600;376;362;238;232
10;языка народов России и литературы;1905;19;19;25;23;48;48;169;163;289;284;449;445;414;408;300;293;157;150;35;34
11;истории, экономики, права, обществознания;1797;70;53;95;63;130;93;199;160;251;206;301;256;267;219;220;164;193;139;71;51
