;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);409;318;4724;5770
2;в том числе       инженерные;25;48;717;954
3;медицинские;6;62;132;1049
4;космические;;;;
5;педагогические;76;33;978;614
6;аграрные;58;7;589;38
7;предпринимательские;;;;
8;кадетские;116;9;1025;198
9;IT-классы;9;28;240;478
10;другие;119;131;1043;2439
