;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;11471;800;989;1232;1378;1138;1294;1396;1506;1562;88;87;;1;;;;;;
2;В них обучающихся (всего), чел.;220629;16269;19783;24255;27321;22229;24385;26182;28229;28848;1666;1461;;1;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;39;3;7;3;4;4;7;3;5;2;1;;;;12;7;;39;;
4;слабослышащие;163;14;18;24;16;15;19;15;11;24;5;2;;;5;100;1;163;;
5;позднооглохшие;13;1;;2;2;4;;;1;2;1;;;;;10;;13;;
6;слепые;8;2;;2;1;1;;1;1;;;;;;;8;1;8;;
7;слабовидящие;317;20;27;29;43;29;37;42;38;42;4;6;;;3;161;;317;;
8;с тяжелыми нарушениями речи;2087;389;390;485;450;109;102;71;51;38;;2;;;14;190;4;2086;1;
9;с нарушением опорно-двигательного аппарата;1053;132;104;129;138;92;95;92;104;113;30;24;;;31;804;6;1046;3;4
10;с задержкой психического развития;17312;573;988;1427;1849;1665;2066;2549;2961;3219;10;5;;;38;1016;118;17279;21;12
11;с умственной отсталостью (интеллектуальными          нарушениями);1521;90;98;153;120;127;280;202;170;215;28;37;;1;153;951;;1510;11;
12;с расстройствами аутистического спектра;486;147;67;61;55;46;30;35;15;22;5;3;;;14;349;9;482;3;1
13;со сложными дефектами;42;1;7;2;2;1;4;11;8;5;;1;;;12;21;11;42;;
14;с иными ограниченными возможностями          здоровья;490;32;36;59;60;57;46;50;49;54;25;22;;;51;286;;489;1;
