;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);40;65;814;1222
2;в том числе       инженерные;2;2;53;37
3;медицинские;;;;
4;космические;;;;
5;педагогические;2;22;44;391
6;аграрные;18;14;245;112
7;предпринимательские;;;;
8;кадетские;13;7;331;155
9;IT-классы;;;;
10;другие;5;20;141;527
