;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);16;73;313;1278
2;в том числе       инженерные;;7;;135
3;медицинские;;24;;332
4;космические;;;;
5;педагогические;;28;;531
6;аграрные;10;3;170;54
7;предпринимательские;;;;
8;кадетские;2;;53;
9;IT-классы;1;5;14;98
10;другие;3;6;76;128
