;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
№ строки;Наименование профессии по Перечню профессий рабочих, должностей служащих, по которым осуществляется профессиональное обучение, утвержденному приказом  Минпросвещения России от 14 июля 2023 г. № 534;Код  профессии (при наличии);"Всего  обучено за период с 20.09 прошлого года по 19.09 текущего года (сумма граф 5 – 10; сумма граф 18-20)";В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований федерального бюджета;В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований бюджета субъекта Российской Федерации;В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований местного бюджета;В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств лиц, зачисляе- мых на обуче- ние (родителей (законных пре- дставителей) несовершенно- летних обучающихся);В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств иных физических лиц;В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств юридических лиц;Из общей численности обученных (из графы 4) девушки;Из общей численности обученных (из графы 4) прошли ускоренное обучение по индивидуаль-ным учебным планам;Из общей численности обученных (из графы 4) лица с ограни-ченными воз-можностями здоровья;Из общей численности обученных (из графы 4) из них (из графы 13): инвалиды;Из общей численности обученных (из графы 4) из них (из графы 13): дети-инвалиды;Из общей численности обученных (из графы 4) инвалиды  (кроме учтенных в графе 14);Из общей численности обученных (из графы 4) дети-инвалиды (кроме учтенных в графе 15);Из общей численности обученных (из графы 4) обучались (обучаются) очно;Из общей численности обученных (из графы 4) обучались (обучаются) очно-заочно;Из общей численности обученных (из графы 4) обучались (обучаются) заочно
1;Программы профессиональной подготовки по профессиям рабочих, должностям служащих – всего;;2658;206;2314;65;41;;32;1316;2;7;2;3;3;21;2624;24;10
2;Водитель автомобиля;11442;63;20;23;;20;;;42;;;;;;;63;;
3;Декоратор витрин;11811;6;;6;;;;;4;;;;;;;6;;
4;Корректор;13134;10;;10;;;;;;;;;;;;10;;
5;Лаборант химико-бактериологического анализа;13319;15;;15;;;;;11;;;;;;;15;;
6;Лаборант химического анализа;13321;47;;47;;;;;27;;;;;;;47;;
7;Овощевод;15415;5;;5;;;;;5;;;;;;;5;;
8;Оператор видеозаписи;15521;5;;5;;;;;2;;;;;;;5;;
9;Оператор электронно-вычислительных и вычислительных машин;16199;583;6;577;;;;;285;;2;;1;1;4;583;;
10;Пекарь;16472;40;;40;;;;;20;;;;;;1;40;;
11;Плотник;16671;11;11;;;;;;;;;;;;;11;;
12;Повар;16675;51;31;20;;;;;40;;;;;;1;51;;
13;Помощник воспитателя;16844;5;;5;;;;;3;;;;;;1;5;;
14;Портной;16909;30;;30;;;;;14;;;;;;;30;;
15;Резчик по дереву и бересте;17938;3;;3;;;;;2;;;;;;;3;;
16;Слесарь механосборочных работ;18466;1;;1;;;;;;;;;;;;1;;
17;Слесарь по ремонту автомобилей;18511;17;;17;;;;;;;;;;;;17;;
18;Слесарь-ремонтник;18559;8;;8;;;;;;;;;;;;8;;
19;Слесарь-сантехник;18560;10;;;;2;;8;;;;;;;;10;;
20;Стрелок;18885;8;;8;;;;;3;;;;;;;8;;
21;Тракторист;19203;24;5;19;;;;;;;;;;;;24;;
22;Тракторист-машинист сельскохозяйственного производства;19205;4;;4;;;;;;;;;;;;4;;
23;Художник росписи по ткани;19521;5;;5;;;;;4;;;;;;;5;;
24;Художник по костюму;19523;15;15;;;;;;9;;;;;;;15;;
25;Цветовод;19524;3;;3;;;;;;;;;;;;3;;
26;Швея;19601;52;8;29;15;;;;35;;1;;1;;;52;;
27;Электромонтажник по освещению и осветительным сетям;19806;6;6;;;;;;2;;;;;;;6;;
28;Электромонтер по ремонту и обслуживанию электрооборудования;19861;19;;;17;2;;;;;1;1;;;;19;;
29;Агент рекламный;20032;31;;31;;;;;17;;;;;;;31;;
30;Администратор;20062;38;;38;;;;;21;;;;;;;28;;10
31;Архивариус;20190;9;;9;;;;;7;;;;;;;9;;
32;Вожатый;20434;833;98;723;12;;;;450;;3;1;1;1;9;833;;
33;Делопроизводитель;21299;28;1;27;;;;;21;;;;;;;28;;
34;Младшая сестра милосердия;24234;28;;28;;;;;14;;;;;;;28;;
35;Младший воспитатель;24236;76;;76;;;;;36;;;;;1;;76;;
36;Портье;25627;24;;24;;;;;12;;;;;;;24;;
37;Секретарь-машинистка;26353;94;2;92;;;;;38;;;;;;4;94;;
38;Секретарь учебной части (диспетчер);26426;50;3;28;;7;;12;17;;;;;;;50;;
39;Социальный работник;26527;51;;37;;8;;6;30;2;;;;;;51;;
40;Чертежник;27530;193;;164;21;2;;6;65;;;;;;1;193;;
41;Рабочий по благоустройству и озеленению территорий и объектов;777155;1;;1;;;;;;;;;;;;1;;
42;Консультант в области развития цифровой грамотности населения (цифровой куратор);890166;32;;32;;;;;18;;;;;;;32;;
