;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);24;155;512;1660
2;в том числе       инженерные;1;13;31;227
3;медицинские;;13;;113
4;космические;;;;
5;педагогические;3;58;40;674
6;аграрные;8;8;127;50
7;предпринимательские;;;;
8;кадетские;6;2;151;50
9;IT-классы;;;;
10;другие;6;61;163;546
