;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);29;78;826;1402
2;в том числе       инженерные;4;13;109;240
3;медицинские;1;5;26;106
4;космические;;;;
5;педагогические;;24;;351
6;аграрные;5;1;96;6
7;предпринимательские;;;;
8;кадетские;3;4;181;72
9;IT-классы;2;11;52;274
10;другие;14;20;362;353
