;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;14080;1148;1298;1522;1782;1414;1636;1690;1710;1686;116;73;4;1;;;;;;
2;В них обучающихся (всего), чел.;323407;26446;30197;35570;42085;31811;37480;37986;38050;38786;2940;1973;80;3;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;20;4;2;2;4;1;3;1;;2;1;;;;7;8;1;20;;
4;слабослышащие;302;24;28;34;33;33;36;32;39;40;1;2;;;6;214;3;301;1;
5;позднооглохшие;7;1;;;;4;2;;;;;;;;1;5;;7;;
6;слепые;7;3;1;;;;;1;;2;;;;;1;6;;7;;
7;слабовидящие;355;30;37;36;39;22;45;37;49;47;6;7;;;9;202;;353;2;
8;с тяжелыми нарушениями речи;2102;445;509;418;389;98;72;52;62;56;;1;;;16;363;4;2096;5;1
9;с нарушением опорно-двигательного аппарата;1265;152;148;147;146;124;117;99;131;138;32;30;1;;31;986;24;1253;9;3
10;с задержкой психического развития;18097;757;960;1621;2214;1782;2377;2592;2790;2990;13;1;;;55;1577;93;18064;31;2
11;с умственной отсталостью (интеллектуальными          нарушениями);4595;205;294;397;547;559;622;639;648;600;64;16;3;1;76;1979;;4505;73;17
12;с расстройствами аутистического спектра;758;179;110;100;111;72;61;42;47;27;3;6;;;16;545;39;743;10;5
13;со сложными дефектами;31;3;4;1;1;1;4;6;5;6;;;;;1;15;1;31;;
14;с иными ограниченными возможностями          здоровья;742;51;50;59;77;71;64;82;108;107;38;33;2;;42;517;6;734;5;3
