;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);265;1335;5314;19708
2;в том числе       инженерные;25;138;729;2558
3;медицинские;10;138;265;1175
4;космические;;;;
5;педагогические;7;377;162;4528
6;аграрные;69;83;356;948
7;предпринимательские;;62;;1307
8;кадетские;13;11;255;182
9;IT-классы;1;10;34;226
10;другие;140;516;3513;8784
