;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);491;6806;6802;4;
2;в том числе:       естественно-научный;121;1385;1382;3;
3;гуманитарный;118;1873;1873;;
4;социально-экономический;56;872;871;1;
5;технологический;50;837;837;;
6;универсальный;146;1839;1839;;
