;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателей;Численность обучающихся по программам начального общего образования - всего (1–4 классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования - всего (5–9 классы);Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования - всего (10–11(12) классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 10-х классов без оставленных на повторное обучение
1;Всего;6720495;3282590;1761859;7070811;3473048;1442856;1314066;721865;686755
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;591;286;402;30;9;6;2;2;1
3;6 лет;153192;80092;147640;2;;;;;
4;7 лет;1578514;776025;1417318;10;;9;1;1;
5;8 лет;1720079;841142;185587;265;97;95;;;
6;9 лет;1676243;820852;8951;2641;1315;1953;;;
7;10 лет;1408428;683821;1161;171029;88876;159472;32;10;32
8;11 лет;167468;74028;322;1280419;636168;1093364;120;59;94
9;12 лет;11680;4650;149;1404494;692323;166390;161;93;73
10;13 лет;2256;852;102;1450938;713809;17583;374;202;258
11;14 лет;888;364;74;1417495;696243;2978;2942;1618;2391
12;15 лет;463;182;60;1166384;568350;698;111867;62863;105478
13;16 лет;321;137;56;157206;68983;198;618977;341747;510415
14;17 лет;246;89;30;15919;5734;85;521907;287049;62109
15;18 лет;65;24;4;2410;793;13;49529;26008;3218
16;19 лет;12;5;;434;158;3;2647;1248;650
17;20 лет;8;2;1;140;51;2;770;289;232
18;21 год;2;2;;89;17;;412;102;170
19;22 года;2;2;;69;20;;383;69;154
20;23 года;1;;;79;10;1;421;47;203
21;24 года;1;1;;70;6;;390;62;188
22;25 лет;2;2;;62;6;1;390;47;158
23;26 лет;2;2;;66;8;;401;35;165
24;27 лет;5;4;1;68;9;;410;42;133
25;28 лет;1;1;;64;10;2;413;57;133
26;29 лет;3;3;;54;11;;374;57;125
27;30–34 года;11;11;1;163;22;3;691;90;208
28;35–39 лет;3;3;;109;9;;302;54;97
29;40 лет и старше;8;8;;102;11;;150;14;70
