;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателей;Численность обучающихся по программам: начального общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 1-го класса или 1-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: основного общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 5-го класса или 5-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: среднего общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 10-го класса или 10-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями);Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся первого года обучения
1;Всего;73600;24826;15743;83334;28923;15676;2499;1174;1234;196362;68546;14573
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;23;12;23;;;;;;;10;5;8
3;6 лет;693;285;595;1;1;;;;;188;74;144
4;7 лет;9329;3170;8368;3;1;;;;;4588;1508;4093
5;8 лет;15936;5275;5417;13;4;3;;;;12123;4053;5921
6;9 лет;18412;6305;1076;37;14;18;;;;17160;5974;2117
7;10 лет;18249;6133;171;656;213;530;;;;20130;7089;610
8;11 лет;7880;2632;45;9084;3134;8028;;;;21199;7391;294
9;12 лет;2044;660;20;14340;5052;5120;;;;23204;8121;232
10;13 лет;547;178;6;16520;5603;1486;;;;24897;8705;232
11;14 лет;207;78;9;16425;5635;319;10;6;10;24504;8381;208
12;15 лет;108;29;3;15057;5255;108;77;37;66;22444;7920;186
13;16 лет;70;24;2;7500;2611;42;474;209;387;14786;5231;185
14;17 лет;52;21;1;2599;973;13;838;387;446;7042;2509;188
15;18 лет;33;15;1;793;304;7;668;332;210;2653;1021;64
16;19 лет;6;2;;215;93;;303;142;90;866;349;22
17;20 лет;3;3;2;60;16;;99;48;19;277;106;18
18;21 год;1;;1;15;6;1;14;7;3;115;40;19
19;22 года;2;1;;8;2;;9;2;1;70;30;20
20;23 года;;;;2;1;;1;;;30;9;12
21;24 года;;;;1;1;;2;2;1;18;5;
22;25 лет;1;;;;;;;;;8;4;
23;26 лет;;;;1;1;1;;;;10;3;
24;27 лет;2;2;2;1;1;;;;;13;4;
25;28 лет;;;;2;1;;1;1;;8;4;
26;29 лет;1;;1;;;;1;;;6;3;
27;30–34 года;1;1;;1;1;;2;1;1;7;4;
28;35–39 лет;;;;;;;;;;6;3;
29;40 лет и старше;;;;;;;;;;;;
