;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего, человек;Из них (из гр.3) имеют образование: Высшее;Из них (из гр.3) имеют образование: из них (гр. 4) педагогическое;Из них (из гр.3) имеют образование: Из гр.4 имеют ученую степень доктора наук;Из них (из гр.3) имеют образование: Из гр.4 имеют ученую степень кандидата наук;Из них (из гр.3) имеют образование: Из гр.4 имеют ученое звание профессора;Из них (из гр.3) имеют образование: Из гр.4 имеют ученое звание доцента;Из них (из гр.3) имеют образование: среднее про- фессиональное образование по програмам подготовки специалистов среднего звена;Из них (из гр.3) имеют образование: из них (гр. 10) педагогическое;Из них (из гр.3) имеют образование: среднее про- фессиональное образование по програмам подготовки квалифициро-ванных рабочих служащих;Из гр.3 имеют квалификационные категории высшую;Из гр.3 имеют квалификационные категории первую;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 40, 41);2120868;1314283;1173572;201;7260;96;724;402039;188666;173770;369984;482232;1782852;
2;в том числе:       руководящие работники – всего;148446;137037;116154;55;1816;29;158;8668;2389;1249;28248;24408;126103;
3;из них:             директор;40221;39523;37688;35;897;24;81;400;358;5;9335;7635;30273;
4;заместители директора;96901;87905;73301;8;805;2;63;6068;1616;920;17329;14911;85213;
5;руководитель филиала;2076;1832;1605;1;6;;;194;136;14;206;521;1743;
6;педагогические работники - всего (сумма строк 07, 28,29, 33-39);1303855;1090991;1037333;141;5320;63;551;196697;175672;3608;340714;455377;1159411;1101356.02
7;в том числе:             учителя–всего (сумма строк 08-18, 22-27);1064619;923904;890791;107;4520;42;448;131645;121282;1664;306778;386404;939948;893958.23
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;307393;230258;226611;4;190;2;18;74236;72776;306;83794;120049;305450;273291.2
9;русского языка и литературы;124900;121272;120096;27;847;6;58;3201;3025;20;43579;44979;122371;
10;языка народов России и литературы;18298;16775;16626;;51;;2;1432;1381;5;5014;6994;17492;
11;истории, экономики, права, обществознания;65646;63798;61796;17;724;10;58;1534;1278;22;20962;21970;53142;
12;информатики и ИКТ;28704;26798;23790;2;210;1;32;1648;1252;41;8225;9674;20918;
13;физики;32437;31939;30402;7;338;1;54;359;292;12;10750;11330;24944;
14;математики;98399;96168;93398;19;396;11;46;1847;1677;26;30329;37007;92223;
15;химии;24928;24650;23553;10;306;;33;213;149;7;9494;8278;23214;
16;географии;31540;30510;29629;4;130;2;14;891;787;10;10334;11596;27900;
17;биологии;32199;31418;30492;2;309;1;27;645;534;14;12047;10860;30251;
18;иностранных языков;115061;109773;106381;6;619;2;49;4733;4414;52;25926;40569;110681;
