;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателей;Численность обучающихся по программам начального общего образования - всего (1–4 классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования - всего (5–9 классы);Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования - всего (10–11(12) классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 10-х классов без оставленных на повторное обучение
1;Всего;611;264;50;24168;6310;634;60110;15490;21777
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;
3;6 лет;;;;;;;;;
4;7 лет;2;1;2;;;;;;
5;8 лет;11;5;2;;;;;;
6;9 лет;28;11;3;6;2;;;;
7;10 лет;8;2;3;23;4;1;;;
8;11 лет;4;1;;121;54;70;1;1;1
9;12 лет;7;3;1;267;87;21;7;1;6
10;13 лет;2;;1;319;120;12;119;58;40
11;14 лет;6;2;;966;321;8;145;67;40
12;15 лет;4;1;;2874;1005;12;577;282;452
13;16 лет;3;2;1;3513;1305;22;3372;1687;2375
14;17 лет;5;1;;2504;824;13;5784;2895;1950
15;18 лет;;;;1482;524;13;4708;2204;1062
16;19 лет;18;1;1;1103;299;31;3716;1316;1218
17;20 лет;34;8;8;951;228;29;3545;856;1237
18;21 год;29;6;;851;153;37;3615;750;1281
19;22 года;33;16;3;941;165;61;3648;625;1347
20;23 года;28;10;;772;120;35;3504;522;1256
21;24 года;24;14;;763;106;48;3264;435;1197
22;25 лет;37;17;1;963;138;66;3324;395;1284
23;26 лет;43;22;2;892;130;28;3280;365;1229
24;27 лет;45;17;4;816;102;34;3218;387;1185
25;28 лет;61;16;3;927;102;19;3188;368;1086
26;29 лет;40;15;2;951;144;20;3378;483;1222
27;30–34 года;51;22;4;1287;193;16;4708;941;1398
28;35–39 лет;32;25;2;521;106;25;1919;517;601
29;40 лет и старше;56;46;7;355;78;13;1090;335;328
