;;;
;;;
;;;
;;;
;;;
1;2;3;4
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения, чел.
1;Всего (сумма строк 02, 07–16);45885;741816
2;Технологический –  всего (сумма строк 03–06);4065;64714
3;в том числе:       информационно-технологический;2421;41656
4;агротехнологический;690;6146
5;индустриально-технологический;89;1504
6;другие технологические;865;15408
7;Физико-математический;6857;113977
8;Физико-химический;995;14826
9;Химико-биологический;5523;73380
10;Биолого-географический;205;1910
11;Социально-экономический;7259;133270
12;Социально-гуманитарный;6866;119870
13;Филологический;1547;28507
14;Художественно-эстетический;127;1986
15;Оборонно-спортивный;697;10892
16;Другие;11744;178491
