;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);2464;21402;20804;575;23
2;в том числе:       естественно-научный;179;1842;1842;;
3;гуманитарный;498;5326;5321;1;4
4;социально-экономический;691;5592;5389;202;1
5;технологический;499;3944;3944;;
6;универсальный;597;4698;4308;372;18
