;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);124;221;2603;2987
2;в том числе       инженерные;5;17;127;363
3;медицинские;3;6;91;147
4;космические;;;;
5;педагогические;51;105;951;1162
6;аграрные;10;5;175;58
7;предпринимательские;;;;
8;кадетские;24;42;601;269
9;IT-классы;;1;;9
10;другие;31;45;658;979
