;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);367;259;4535;3154
2;в том числе       инженерные;27;28;422;383
3;медицинские;46;38;600;406
4;космические;;2;;24
5;педагогические;53;85;714;1074
6;аграрные;156;55;1199;333
7;предпринимательские;;1;;16
8;кадетские;31;9;713;195
9;IT-классы;31;11;555;108
10;другие;23;30;332;615
