;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);303;729;8207;16417
2;в том числе       инженерные;51;141;1395;3457
3;медицинские;15;41;403;1016
4;космические;2;;65;
5;педагогические;47;196;1448;3719
6;аграрные;;2;;28
7;предпринимательские;;20;;567
8;кадетские;44;30;1145;702
9;IT-классы;6;25;164;677
10;другие;138;274;3587;6251
