;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);2574;54494;53642;426;426
2;в том числе:       естественно-научный;311;5807;5807;;
3;гуманитарный;584;13085;12824;140;121
4;социально-экономический;544;12120;12113;2;5
5;технологический;759;15633;15633;;
6;универсальный;376;7849;7265;284;300
