;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателей;Численность обучающихся по программам начального общего образования - всего (1–4 классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования - всего (5–9 классы);Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования - всего (10–11(12) классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 10-х классов без оставленных на повторное обучение
1;Всего;1441;646;258;14950;4393;716;35755;11689;11684
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;1;;;;;;;;
3;6 лет;74;37;46;;;;;;
4;7 лет;238;107;135;;;;;;
5;8 лет;330;149;42;;;;;;
6;9 лет;273;123;12;3;1;3;;;
7;10 лет;160;68;7;99;42;51;;;
8;11 лет;31;13;1;226;116;138;;;
9;12 лет;12;10;;255;119;26;;;
10;13 лет;5;3;;310;148;13;1;1;
11;14 лет;5;4;;561;218;21;20;7;11
12;15 лет;3;2;;1535;586;36;426;264;369
13;16 лет;5;2;;1913;659;26;2527;1294;1385
14;17 лет;5;2;;1790;571;26;4356;2112;1182
15;18 лет;26;21;;1381;508;23;3936;1877;862
16;19 лет;12;4;2;664;233;15;2393;1063;617
17;20 лет;6;3;;595;161;48;2078;708;646
18;21 год;12;5;;473;101;27;1796;487;583
19;22 года;19;6;;491;95;26;1863;445;620
20;23 года;18;4;1;401;65;18;1710;369;653
21;24 года;19;7;1;546;87;29;1629;340;570
22;25 лет;21;10;1;465;95;20;1729;345;609
23;26 лет;24;10;;489;96;36;1666;308;587
24;27 лет;18;4;;504;78;20;1676;274;648
25;28 лет;19;9;2;489;84;22;1708;253;559
26;29 лет;19;4;3;457;71;27;1601;246;515
27;30–34 года;53;22;1;782;153;39;2820;719;740
28;35–39 лет;17;5;1;321;66;16;1212;373;326
29;40 лет и старше;16;12;3;200;40;10;608;204;202
