;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателей;Численность обучающихся по программам начального общего образования - всего (1–4 классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования - всего (5–9 классы);Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования - всего (10–11(12) классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 10-х классов без оставленных на повторное обучение
1;Всего;6438357;3146902;1710628;6919027;3397110;1390698;1288924;701340;661737
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;2828;1361;1770;1335;514;149;232;91;74
3;6 лет;165678;85714;155089;34;9;13;11;5;10
4;7 лет;1538502;757328;1346073;159;34;38;2;1;2
5;8 лет;1676110;820337;193352;437;194;117;13;2;
6;9 лет;1573932;770109;11213;4034;1991;2811;11;6;
7;10 лет;1284061;624763;2222;171158;88160;153167;25;13;10
8;11 лет;169322;75702;399;1250117;621882;1036608;77;34;34
9;12 лет;14974;6069;156;1438605;708291;172108;83;41;34
10;13 лет;4649;1923;94;1423345;699738;18366;417;232;324
11;14 лет;3113;1287;63;1359988;668103;5031;4161;2323;3369
12;15 лет;2397;1064;78;1089361;530786;1718;116314;64594;105014
13;16 лет;1530;717;38;155511;69132;306;601621;332150;481838
14;17 лет;888;349;31;17125;6349;78;488882;269045;60706
15;18 лет;86;34;4;3349;1147;16;54409;28755;3611
16;19 лет;13;6;;742;241;7;3843;1674;802
17;20 лет;4;3;1;441;100;3;1792;469;631
18;21 год;5;3;1;330;48;6;1725;253;608
19;22 года;10;4;;240;37;3;1552;171;567
20;23 года;6;4;;236;25;7;1329;178;452
21;24 года;14;11;;226;32;10;1470;155;579
22;25 лет;15;11;;285;31;28;1531;141;548
23;26 лет;8;6;;307;26;5;1823;114;515
24;27 лет;16;9;;284;31;14;1395;144;397
25;28 лет;9;3;2;262;18;17;1528;142;388
26;29 лет;121;56;36;335;86;28;1477;161;357
27;30–34 года;24;14;1;390;54;20;2018;228;508
28;35–39 лет;12;5;2;227;33;20;772;131;233
29;40 лет и старше;30;10;3;164;18;4;411;87;126
