;;;
;;;
;;;
;;;
;;;
1;2;3;4
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения, чел.
1;Всего (сумма строк 02, 07–16);223;1499
2;Технологический –  всего (сумма строк 03–06);4;72
3;в том числе:       информационно-технологический;2;29
4;агротехнологический;;
5;индустриально-технологический;1;18
6;другие технологические;1;25
7;Физико-математический;54;116
8;Физико-химический;4;100
9;Химико-биологический;4;44
10;Биолого-географический;3;18
11;Социально-экономический;10;149
12;Социально-гуманитарный;18;227
13;Филологический;4;95
14;Художественно-эстетический;;
15;Оборонно-спортивный;3;46
16;Другие;119;632
