;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателей;Численность обучающихся по программам: начального общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 1-го класса или 1-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: основного общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 5-го класса или 5-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: среднего общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 10-го класса или 10-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями);Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся первого года обучения
1;Всего;77072;26118;15109;85889;29980;15941;2801;1262;1252;183533;63954;15070
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;61;30;29;8;;;;;;311;121;52
3;6 лет;733;297;607;1;1;;;;;296;109;264
4;7 лет;9577;3372;8086;16;7;2;4;4;;4454;1511;3834
5;8 лет;16479;5584;5144;15;12;8;;;;11646;3903;5603
6;9 лет;18682;6389;929;46;17;20;1;;;16213;5578;2027
7;10 лет;18889;6326;196;712;273;521;;;;18252;6335;724
8;11 лет;8635;2771;61;9641;3501;8006;3;;;20705;7177;457
9;12 лет;2389;790;18;15794;5329;5392;5;;;22791;7906;421
10;13 лет;731;256;9;16937;5819;1520;12;2;;22598;7749;387
11;14 лет;380;118;12;16614;5770;319;15;10;3;21916;7755;300
12;15 лет;249;89;5;14753;5180;93;129;64;76;20475;7156;299
13;16 лет;167;59;10;7568;2655;35;560;253;376;13534;4834;345
14;17 лет;67;21;3;2637;984;19;918;420;462;6565;2411;220
15;18 лет;21;11;;844;315;5;697;310;221;2534;934;107
16;19 лет;8;3;;207;80;1;296;129;83;773;300;14
17;20 лет;3;1;;63;24;;102;45;23;249;85;7
18;21 год;1;1;;15;6;;37;15;5;109;41;7
19;22 года;;;;7;1;;14;5;1;32;13;
20;23 года;;;;3;1;;3;3;1;27;9;
21;24 года;;;;;;;1;;;13;7;2
22;25 лет;;;;;;;;;;11;4;
23;26 лет;;;;2;1;;1;1;;13;5;
24;27 лет;;;;;;;1;;1;7;3;
25;28 лет;;;;;;;1;;;2;2;
26;29 лет;;;;1;;;;;;4;2;
27;30–34 года;;;;2;1;;1;1;;4;3;
28;35–39 лет;;;;;;;;;;1;1;
29;40 лет и старше;;;;3;3;;;;;;;
