;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
№ строки;Наименование показателей;Код по ОКИН;Численность обучающихся во всех классах кроме классов для обучаю-щихся с огра-ниченными возможностями здоровья (сумма граф 5–10);В том числе по программам: начального общего образования 1-й класс;В том числе по программам: начального общего образования 2-й класс;В том числе по программам: начального общего образования 3-й класс;В том числе по программам: начального общего образования 4-й класс;В том числе по программам: основного общего образования (5–9 классы);В том числе по программам: среднего общего образования (10–11(12) классы;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья (сумма граф 12–15);В том числе по адаптированным программам начального общего образования;В том числе по адаптированным программам основного общего образования;В том числе по адаптированным программам среднего общего образования;В том числе по адаптированным программам образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями)
1;Язык обучения: Абазинский;001;0;;;;;;;0;;;;
2;Аварский;003;7403;1770;1684;1645;1428;737;139;208;93;91;24;
3;Адыгейский;006;1556;140;239;186;178;747;66;0;;;;
4;Азербайджанский;007;0;;;;;;;0;;;;
5;Алтайский;012;1033;257;268;279;195;34;;0;;;;
6;Армянский;019;0;;;;;;;0;;;;
7;Балкарский;282;1299;176;184;156;118;544;121;0;;;;
8;Башкирский;026;47824;4763;5866;5598;4637;23563;3397;491;64;215;1;211
9;Белорусский;028;0;;;;;;;23;;;;23
10;Бурятский;033;1313;109;225;219;215;536;9;0;;;;
11;Вепсский;039;0;;;;;;;0;;;;
12;Грузинский;049;23;15;8;;;;;0;;;;
13;Даргинский;055;5707;1470;1535;1366;1321;15;;0;;;;
14;Долганский;283;0;;;;;;;0;;;;
15;Еврейский (идиш);061;0;;;;;;;0;;;;
16;Ительменский;071;0;;;;;;;0;;;;
17;Ингушский;066;6499;980;882;845;683;2608;501;0;;;;
18;Казахский;076;16;;;16;;;;0;;;;
19;Калмыцкий;078;5039;745;647;663;593;1887;504;0;;;;
20;Кабардинский;075;2794;367;341;302;306;1165;313;7;;;;7
21;Карачаевский;085;6276;799;762;786;628;2742;559;0;;;;
22;Карельский;086;143;11;23;20;12;68;9;0;;;;
23;Кетский;089;0;;;;;;;0;;;;
24;Коми;096;0;;;;;;;16;12;4;;
25;Коми-пермяцкий;097;650;109;85;79;59;318;;0;;;;
26;Корейский;098;363;43;31;33;40;183;33;0;;;;
27;Корякский;099;33;5;5;4;3;16;;635;142;129;20;344
28;Крымско-татарский;102;5943;815;623;827;681;2708;289;102;40;1;;61
29;Кумыкский;105;1514;373;382;352;304;101;2;0;;;;
30;Лакский;112;115;35;23;22;30;5;;0;;;;
31;Лезгинский;114;3758;1044;917;914;883;;;0;;;;
32;Латышский;113;0;;;;;;;0;;;;
33;Литовский;116;0;;;;;;;0;;;;
34;Марийский горный;121;664;65;85;82;69;305;58;0;;;;
35;Марийский луговой;321;896;72;109;125;99;473;18;21;21;;;
36;Мордовский мокша;126;1;;1;;;;;0;;;;
37;Мордовский эрзя;326;36;3;8;7;3;15;;0;;;;
38;Манси;899;0;;;;;;;0;;;;
39;Нанайский;132;9;;9;;;;;0;;;;
40;Ненецкий;136;23;1;4;3;4;11;;16;12;4;;
41;Ногайский;138;809;108;106;104;87;376;28;0;;;;
42;Немецкий;135;1665;112;210;202;180;873;88;2;1;1;;
43;Новогреческий;898;0;;;;;;;0;;;;
44;Нивхский (на двух диалектах);137;925;123;93;100;94;424;91;69;23;;;46
45;Осетинский;146;242;16;32;27;44;105;18;0;;;;
46;Польский;150;5460;616;635;590;543;2643;433;280;39;71;;170
47;Русский;155;14345033;1699583;1631708;1525211;1414319;6807041;1267171;341101;73486;82599;2689;182327
48;Рутульский;157;1771;268;192;188;168;807;148;257;2;2;;253
49;Саамский;164;1024;100;129;100;107;528;60;0;;;;
50;Селькупский;168;50;9;7;10;2;22;;0;;;;
51;Табасаранский;174;8;;;;8;;;0;;;;
52;Татарский;181;81016;10309;10313;9598;8428;36921;5447;383;4;16;;363
53;Татский;185;661;80;72;83;170;169;87;63;22;22;;19
54;Тофаларский;192;0;;;;;;;0;;;;
55;Тувинский;196;22500;4717;4638;4406;3413;4630;696;180;37;29;2;112
