;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего, человек;Из них (из гр.3) имеют образование: Высшее;Из них (из гр.3) имеют образование: из них (гр. 4) педагогическое;Из них (из гр.3) имеют образование: Из гр.4 имеют ученую степень доктора наук;Из них (из гр.3) имеют образование: Из гр.4 имеют ученую степень кандидата наук;Из них (из гр.3) имеют образование: Из гр.4 имеют ученое звание профессора;Из них (из гр.3) имеют образование: Из гр.4 имеют ученое звание доцента;Из них (из гр.3) имеют образование: среднее про- фессиональное образование по програмам подготовки специалистов среднего звена;Из них (из гр.3) имеют образование: из них (гр. 10) педагогическое;Из них (из гр.3) имеют образование: среднее про- фессиональное образование по програмам подготовки квалифициро-ванных рабочих служащих;Из гр.3 имеют квалификационные категории высшую;Из гр.3 имеют квалификационные категории первую;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 40, 41);2113550;1302266;1158176;387;6797;112;683;391984;186264;178112;354014;489560;1682260;
2;в том числе:       руководящие работники – всего;151500;138646;117227;96;1795;43;163;9246;2556;1583;28932;27331;120827;
3;из них:             директор;40863;40237;38391;44;899;29;91;398;361;11;9893;8629;28467;
4;заместители директора;97720;88235;73911;25;749;8;55;6341;1801;1159;17799;16897;79049;
5;руководитель филиала;2215;1913;1650;;12;;2;234;158;20;207;546;1689;
6;педагогические работники - всего (сумма строк 07, 28,29, 33-39);1295131;1078190;1020598;283;4877;66;508;195416;172802;5404;323712;459156;1107113;
7;в том числе:             учителя–всего (сумма строк 08-18, 22-27);1059444;916387;878865;230;4195;55;424;130744;119130;2535;291719;390768;900747;
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;301347;224758;220890;42;181;4;30;72430;70807;552;77596;121110;288444;
9;русского языка и литературы;125165;121407;120001;47;796;10;48;3196;3015;39;41620;46120;118465;
10;языка народов России и литературы;18492;16931;16744;13;51;;2;1462;1412;10;4716;7283;16973;
11;истории, экономики, права, обществознания;65433;63499;61229;13;682;7;56;1575;1296;44;20291;22097;51229;
12;информатики и ИКТ;28727;26649;22986;4;191;2;21;1793;1353;67;7823;9652;20252;
13;физики;32657;32149;30380;19;325;2;55;353;281;9;10551;11699;24247;
14;математики;98890;96433;93436;24;367;6;47;1917;1742;46;29443;37723;89666;
15;химии;25327;25047;23806;12;281;2;33;207;137;5;9315;8695;22720;
16;географии;31674;30579;29576;3;120;2;12;911;784;21;9988;11922;26970;
17;биологии;32329;31533;30465;6;287;1;24;635;517;23;11722;11228;29256;
18;иностранных языков;113983;108304;104625;15;537;3;41;5029;4708;61;24601;39456;105886;
19;из них:                         английского языка;97365;92395;88887;7;421;2;27;4058;3793;50;19506;32494;88731;
20;немецкого языка;12616;11700;11397;;40;;5;753;690;7;3226;4821;11568;
21;французского языка;3208;3170;3114;;34;;2;23;21;;1340;995;2988;
22;физической культуры;76707;60295;57199;7;106;2;11;14834;13526;302;18113;26984;33020;
23;трудового обучения (технологии);45084;31886;26691;6;59;;2;11224;7290;987;10217;16130;26972;
