;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма гр.4,6,8,10,12,14,16,18,20,22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 45–49 всего;Число полных лет  по состоянию на 1 января 20_ года 45–49 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 50–54 всего;Число полных лет  по состоянию на 1 января 20_ года 50–54 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 55–59 всего;Число полных лет  по состоянию на 1 января 20_ года 55–59 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 60–64 всего;Число полных лет  по состоянию на 1 января 20_ года 60–64 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 65 и более всего;Число полных лет  по состоянию на 1 января 20_ года 65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 40, 41);2113367;90569;73345;156454;126436;181754;154317;220530;192873;286347;253056;318745;280300;310795;262774;282255;229399;163851;128061;102067;77673
2;в том числе:       руководящие работники – всего;151491;829;499;4606;3249;9441;7408;16184;13779;26162;23215;30488;27174;26378;22859;22000;18336;10507;8297;4896;3661
3;из них:             директор;40862;66;22;502;217;1355;696;2943;1988;6218;4782;8655;7031;8145;6344;7329;5450;3762;2638;1887;1265
4;заместители директора;97715;672;405;3533;2525;6800;5517;11485;10101;17847;16334;19821;18128;16153;14466;12876;11148;5882;4847;2646;2048
5;руководитель филиала;2215;17;8;51;33;135;106;181;159;365;311;428;369;425;370;380;313;159;123;74;61
6;педагогические работники - всего (сумма строк 07, 28,29, 33-39);1295022;71226;59659;114464;94246;115374;100667;134291;121751;179482;165270;203248;188061;181168;163526;155995;138058;85680;73811;54094;44891
7;в том числе:             учителя–всего (сумма строк 08-18, 22-27);1059389;56554;46753;90881;73028;87819;75019;103819;93046;146141;133809;172089;158893;153230;137804;132289;116520;72393;62117;44174;36514
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;301340;17924;17472;18488;18192;21210;20962;29581;29326;52795;52402;67157;66716;44598;44265;30896;30598;12155;11989;6536;6383
9;русского языка и литературы;125158;4469;4244;8656;8298;8260;7970;11761;11511;17545;17172;19711;19410;18688;18365;18029;17665;11083;10835;6956;6735
