;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Организация имеет особенности осуществляемой образовательной деятельности:    является интернатом;1537
2;имеет интернат (заполняют организации, указавшие в строке 01 код «0»);1208
3;является вечерней (сменной);567
4;имеет классы очно-заочного и заочного обучения (заполняет организация, указавшая    в строке 03 код «0»);1021
5;является отдельной общеобразовательной организацией для обучающихся с    ограниченными возможностями здоровья;1625
6;в том числе для:          глухих;126
7;слабослышащих и позднооглохших;139
8;слепых;76
9;слабовидящих;121
10;с тяжелыми нарушениями речи;136
11;с нарушениями опорно-двигательного аппарата;111
12;с задержкой психического развития;265
13;с расстройствами аутистического спектра;72
14;со сложными дефектами;195
15;других обучающихся с ограниченными возможностями здоровья;1192
16;имеет отдельные классы для обучающихся с ограниченными возможностями здоровья    (заполняют организации, указавшие в строке 05 код «0»);3317
17;является организацией (учреждением): специальным учебно-воспитательным    учреждением для обучающихся с девиантным (общественно опасным) поведением;55
18;для детей дошкольного и младшего школьного возраста;908
19;для обучающихся, нуждающихся в длительном лечении;102
20;для обучающихся, нуждающихся в психолого-педагогической медицинской и    социальной помощи;124
21;для детей-сирот и детей, оставшихся без попечения родителей;225
22;центром образования;350
23;создана в уголовно-исполнительной системе;214
24;обеспечивает углубленную подготовку:       организация с углубленным изучением отдельных предметов;1229
25;имеет отдельные классы с углубленным изучением отдельных предметов       (заполняют организации, указавшие в строке 24 код «0»);1528
26;гимназия;1393
27;имеет гимназические классы (заполняют организации, указавшие в строке 26 код «0»);57
28;лицей;1091
29;имеет лицейские классы (заполняют организации, указавшие в строке 28 код «0»);39
30;обеспечивает подготовку к военной или гражданской службе:       президентское кадетское училище;4
31;суворовское военное училище;1
32;нахимовское военно-морское училище;
33;кадетский (морской кадетский) военный корпус;
34;кадетский (морской кадетский) корпус;21
35;кадетская школа;107
36;казачий кадетский корпус;29
37;военно-музыкальное училище;1
38;другая;569
39;Организация не имеет особенностей;32996
