;;;
;;;
;;;
;;;
;;;
1;2;3;4
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения, чел.
1;Всего (сумма строк 02, 07–16);45141;704604
2;Технологический –  всего (сумма строк 03–06);3817;57940
3;в том числе:       информационно-технологический;2580;43161
4;агротехнологический;705;6135
5;индустриально-технологический;113;2101
6;другие технологические;419;6543
7;Физико-математический;7139;116038
8;Физико-химический;883;14879
9;Химико-биологический;5144;67153
10;Биолого-географический;297;2369
11;Социально-экономический;6957;125457
12;Социально-гуманитарный;7569;125426
13;Филологический;1690;30651
14;Художественно-эстетический;126;2153
15;Оборонно-спортивный;740;11827
16;Другие;10779;150711
