;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;318956;30432;178757;109767;316512;1361;1083
2;из них:        русский язык;10940;;6064;4876;10792;88;60
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;1457;;741;716;1453;4;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;31;31;;;31;;
7;математика;145479;3601;77830;64048;144566;568;345
8;изобразительное искусство;1661;158;1118;385;1645;14;2
9;музыка;;;;;;;
10;труд (технология);1385;328;1057;;1377;4;4
11;физическая культура;182;;151;31;182;;
12;литература;19536;;6151;13385;19358;131;47
13;родная литература;334;;179;155;334;;
14;иностранный язык;135820;26985;67938;40897;134640;580;600
15;из них:              английский;124322;24319;60864;39139;123225;544;553
16;немецкий;3813;770;2444;599;3774;26;13
17;французский;3274;698;2094;482;3248;9;17
18;испанский;4213;1205;2650;358;4190;2;21
19;другие европейские языки;;;;;;;
20;китайский;1430;;1101;329;1429;1;
21;другие восточные языки;48;;;48;48;;
22;информатика;60451;;27704;32747;60156;167;128
23;история;14296;;5927;8369;14214;36;46
24;обществознание;53280;;6381;46899;52764;295;221
25;география;2956;;1237;1719;2934;16;6
26;физика;63584;;32961;30623;63366;142;76
27;химия;33119;;17979;15140;32961;96;62
28;биология;35343;;19456;15887;35178;89;76
29;основы безопасности и защиты Родины;421;;421;;421;;
