;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);1406;2426;36165;62701
2;в том числе       инженерные;41;416;1099;10574
3;медицинские;38;264;1018;6959
4;космические;2;14;56;373
5;педагогические;;14;;331
6;аграрные;;;;
7;предпринимательские;13;373;388;9900
8;кадетские;420;217;10612;5027
9;IT-классы;185;356;4977;9631
10;другие;707;772;18015;19906
