;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);869;10713;10451;62;200
2;в том числе:       естественно-научный;102;1298;1298;;
3;гуманитарный;93;1564;1564;;
4;социально-экономический;125;1967;1965;2;
5;технологический;112;1621;1621;;
6;универсальный;437;4263;4003;60;200
