;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);43149;2406;1974;2149;1728;2766;2266;4632;4030;5280;4537;6184;5343;6598;5616;5603;4570;4383;3222;3148;2310
2;в том числе:       руководящие работники – всего;2474;10;6;41;31;106;83;255;220;312;273;461;414;541;483;371;324;254;203;123;96
3;из них:             директор;929;2;1;13;8;31;19;63;44;102;81;158;127;210;172;149;118;122;87;79;58
4;заместители директора;1429;6;4;26;21;73;64;181;166;198;182;268;256;316;298;205;197;118;106;38;35
5;руководитель филиала;23;1;;;;;;1;1;6;6;6;6;2;2;6;3;1;1;;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);25996;2076;1759;1770;1451;1906;1603;2853;2558;3032;2731;3465;3180;3868;3538;3164;2876;2254;2002;1608;1392
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);20840;1667;1408;1395;1125;1444;1177;2135;1879;2226;1972;2763;2521;3256;2972;2724;2480;1907;1695;1323;1154
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;6208;564;559;416;409;379;374;516;513;667;663;890;887;1157;1156;936;934;479;479;204;204
9;русского языка и литературы;2515;165;161;121;115;138;131;226;222;232;228;341;338;436;429;360;356;261;260;235;232
