;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);40;114;949;2288
2;в том числе       инженерные;7;20;200;422
3;медицинские;;11;;227
4;космические;;;;
5;педагогические;;26;;430
6;аграрные;4;1;65;12
7;предпринимательские;;11;;260
8;кадетские;20;10;541;211
9;IT-классы;5;11;75;250
10;другие;4;24;68;476
