;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
10;cлепых;815;11;12;11;15;38;17;21;67;;5;46;2;;23;47;49;17;18;7;3;9;51;1;;62;3;;30;;;60;3;;16;40;47;43;41;;;;;;;531;31;456;;;55
11;Число классов для обучающихся с тяжелыми нарушениями речи, ед.;1873;215;213;195;193;28;99;67;75;3;1;72;4;;69;3;1;72;63;63;44;41;61;;;58;;;55;;;56;2;2;10;53;53;1;1;;;;;;;;;;;;
12;В них обучающихся, чел.;20695;2518;2496;2370;2203;293;998;668;841;34;3;761;41;;704;31;9;787;706;629;503;467;625;;;591;;;569;;;574;21;22;107;528;583;9;4;;;;;;;14739;4;1780;;;28
13;Число классов для обучающихся с нарушением опорно-двигательного аппарата, ед.;1765;59;54;67;59;21;96;78;103;2;1;91;2;2;91;4;5;91;77;81;87;84;67;1;1;73;1;;64;;;80;;;8;64;54;95;100;1;;;;;1;;;;;;
14;В них обучающихся, чел.;8509;338;340;416;398;110;498;414;427;22;11;436;31;6;407;32;29;436;433;402;423;462;319;1;1;381;2;;289;;;310;;;37;257;242;320;276;2;;;;;1;5846;252;3675;32;7;167
15;Число классов для обучающихся с задержкой психического развития, ед.;9484;293;383;495;550;94;484;534;512;38;15;515;48;13;494;42;18;921;972;841;1052;1006;16;2;;16;1;;22;2;1;26;1;;21;17;13;21;5;;;;;;;;;;;;
16;В них обучающихся, чел.;97522;2730;3549;4764;5538;799;4748;5322;5305;336;103;5532;405;116;5468;429;138;9645;10419;8859;11589;11041;88;24;;81;14;;74;21;3;131;3;;153;38;13;34;10;;;;;;;63850;97;6402;1;28;833
17;Число классов для обучающихся с расстройствами аутистического спектра, ед.;730;25;10;12;9;55;132;113;103;8;2;67;;2;65;9;7;16;16;12;6;6;12;2;;11;;;1;;;8;;;1;5;6;2;6;;;;1;;;;;;;;
18;В них обучающихся, чел.;3073;117;41;36;23;272;711;600;425;37;3;254;;15;241;57;35;49;22;24;20;14;16;8;;11;;;1;;;11;;;5;8;8;2;6;;;;1;;;1599;6;1315;;7;223
19;Число классов для обучающихся со сложными дефектами, ед.;225;5;5;4;6;12;8;10;19;;;16;1;1;11;12;9;9;10;5;11;11;15;;;10;;;5;;;8;2;1;3;9;6;;1;;;;;;;;;;;;
20;В них обучающихся, чел.;1159;25;24;18;25;76;48;61;98;;;78;5;4;71;64;35;50;48;22;47;61;63;;;50;;;33;;;41;8;5;13;46;34;;6;;;;;;;898;14;758;;;435
21;Число классов для обучающихся с иными ограниченными возможностями здоровья (кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед.;929;36;40;43;50;13;41;52;47;9;;44;8;3;33;21;11;62;60;56;68;58;14;1;1;15;;;19;;;22;1;5;11;13;15;28;29;;;;;;;;;;;;
22;В них обучающихся, чел.;7399;342;351;339;406;113;353;463;451;90;;445;56;25;334;173;85;521;512;367;527;497;91;5;1;93;;;99;;;121;6;30;61;101;109;135;97;;;;;;;5948;125;2832;;4;180
23;Итого классов (сумма строк 01,03, 05, 08, 11, 13, 15, 17, 19, 21);19408;720;804;916;963;432;989;971;1155;89;38;1095;93;30;901;298;309;1264;1293;1143;1342;1288;417;28;22;440;17;9;363;10;7;430;36;32;169;343;406;256;259;4;3;1;6;7;10;;;;;;
24;"В них обучающихся  (сумма строк 02, 04, 06, 07, 09, 10, 12, 14, 16, 18, 20, 22; сумма строк 25 - 27)";167327;6991;7793;8926;9560;2939;8091;8181;9318;665;201;9272;687;203;7989;2082;1891;12207;12911;10964;13716;13152;2679;160;100;2903;115;48;2331;57;38;2780;213;210;1045;2156;2602;1017;973;25;15;6;27;23;65;110619;1066;28494;2;309;2378
25;в том числе обучаются:       очно;166777;6981;7779;8911;9540;2935;8063;8165;9281;655;201;9241;674;200;7957;2068;1879;12188;12897;10935;13690;13132;2664;158;98;2889;113;46;2315;57;38;2766;213;210;1039;2146;2589;1000;946;21;;;14;18;65;110255;988;28304;2;308;2342
26;очно-заочно;478;8;13;14;18;4;22;15;33;10;;26;12;3;29;11;10;19;14;29;25;19;7;2;2;11;2;2;14;;;14;;;4;8;11;10;16;4;15;6;13;3;;307;62;168;;;27
27;заочно;72;2;1;1;2;;6;1;4;;;5;1;;3;3;2;;;;1;1;8;;;3;;;2;;;;;;2;2;2;7;11;;;;;2;;57;16;22;;1;9
28;из них (из строки 24):       воспитанники (без приходящих учащихся);20099;453;458;599;568;682;1003;885;1414;100;30;1462;105;29;1174;591;670;874;910;757;854;719;818;55;44;900;52;14;676;18;14;819;64;66;362;628;779;205;209;8;;;5;9;17;11266;247;4965;;;267
29;девочки;57026;2318;2658;3047;3246;1006;2416;2547;3070;217;67;3065;231;68;2528;798;745;4085;4344;3734;4746;4512;991;62;42;1096;46;18;892;24;19;1052;72;107;427;808;941;477;441;12;7;3;9;8;24;32197;320;8496;;61;659
30;лица с ограниченными возможностями здоровья;165205;6882;7678;8820;9394;2939;8050;8130;9293;659;185;9242;646;203;7984;2048;1879;11941;12683;10736;13500;12865;2672;160;100;2894;115;48;2322;57;38;2775;206;197;1039;2148;2587;982;947;25;15;6;27;23;65;;;;;;1015
31;из них (из строки 30):             инвалиды;1790;51;36;38;43;10;38;19;55;1;;35;2;1;27;19;18;5;22;23;27;33;49;;2;49;4;1;36;2;4;69;;9;92;56;299;142;384;1;13;6;20;5;44;;;;;;16
32;дети-инвалиды;42897;1224;1132;1190;1189;1699;3026;2668;3431;275;86;3159;205;88;2253;1309;1406;1699;1587;1257;1432;1368;1601;127;97;1758;79;44;1457;29;32;1592;159;165;595;1187;1308;600;334;16;2;;5;14;13;;;;;;776
33;инвалиды (кроме учтенных в строке 31);5;;;;;;;;;;;;;;;;;;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;дети-инвалиды (кроме учтенных в строке 32);492;13;19;10;20;18;28;20;28;;;21;4;;26;8;7;34;30;43;38;36;;;;4;;;9;;;;7;13;;8;3;28;17;;;;;;;;;;;;
35;дети-сироты и дети, оставшиеся без попечения       родителей;3832;77;93;157;192;38;107;141;145;15;5;179;17;5;199;25;28;285;357;324;498;535;52;;3;44;;1;76;1;;58;6;2;26;43;64;14;16;1;1;;;;2;2053;10;271;;1;50
36;из них воспитанники (без приходящих учащихся);612;9;4;20;21;8;18;26;18;;1;33;;1;43;6;16;37;46;28;59;65;23;;;17;;1;31;;;20;2;2;13;13;22;3;4;;;;;;2;284;3;66;;;8
37;обучающиеся, имеющие иностранное гражданство;1235;42;74;57;70;6;53;66;72;3;;52;3;1;65;6;6;143;135;101;137;91;5;1;;9;1;;9;;;9;1;1;3;5;4;;3;;;;1;;;667;3;64;;;5
38;из них имеют 2 и более гражданства;60;2;1;3;1;;2;3;5;;;4;;;3;;;6;5;10;7;3;;;;2;;;1;;;1;;;;;1;;;;;;;;;27;;7;;;1
39;обучающиеся лица без гражданства;13;1;4;1;1;;;2;2;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;
