;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02, 07–16);78981;974489;955202;14983;4304
2;Технологический –  всего (сумма строк 03–06);11485;151758;151145;498;115
3;в том числе:       информационно-технологический;5169;62438;62138;214;86
4;агротехнологический;370;3350;3350;;
5;индустриально-технологический;97;1046;1046;;
6;другие технологические;5849;84924;84611;284;29
7;Физико-математический;2403;33959;33890;52;17
8;Физико-химический;249;3590;3588;2;
9;Химико-биологический;5986;63718;63494;176;48
10;Биолого-географический;122;1002;823;;179
11;Социально-экономический;10014;141523;140732;579;212
12;Социально-гуманитарный;5245;68423;68064;284;75
13;Филологический;1099;17503;17400;79;24
14;Художественно-эстетический;229;1760;1755;4;1
15;Оборонно-спортивный;165;2762;2745;12;5
16;Другие;41984;488491;471566;13297;3628
